mz-peak	PIUMet-ID	Metabolite-Name	HMDB-ID	origin	super-class	Cellular-location	monisotopic-moleculate-weight	Chemical-formula
m/z=73.0600721942	met67593	Aminoacetone	HMDB0002134	Endogenous	Organic compounds	Mitochondria	73.05276385	C3H7NO
m/z=73.0600721942	met4620	3-Aminopropionaldehyde	HMDB0001106	Endogenous	Organic compounds	Cytoplasm (predicted from logP)	73.05276385	C3H7NO
m/z=73.0600721942	met48127	Methylguanidine	HMDB0001522	Endogenous	Organic compounds	Cytoplasm (predicted from logP)	73.06399724	C2H7N3
m/z=83.0443270596	met18315	5-Aminoimidazole	HMDB0003929	Endogenous	Organic compounds	Cytoplasm (predicted from logP)	83.04834718	C3H5N3
m/z=88.0379441866	met38714	3-(Methylthio)-1-propene	HMDB0031653	Endogenous|Food|Microbial	Organic compounds	Cytoplasm|Extracellular	88.03467095	C4H8S
m/z=88.0379441866	met57847	cis-2,3-Dimethylthiirane	HMDB0039807	Food	Organoheterocyclic compounds	Cytoplasm|Extracellular	88.03467095	C4H8S
m/z=94.0853915982	met53532	2-Methyl-1,3-cyclohexadiene	HMDB0032395	Endogenous|Food	Hydrocarbons	Membrane	94.07825032	C7H10
m/z=94.0853915982	met30368	1-Methyl-1,3-cyclohexadiene	HMDB0031532	Endogenous|Food	Hydrocarbons	Membrane	94.07825032	C7H10
m/z=97.9839891084	met1284	Phosphoric acid	HMDB0002142	Endogenous	Inorganic compounds	Cytoplasm (predicted from logP)	97.9768951	H3O4P
m/z=104.069969542	met64718	1-Pentanethiol	HMDB0032457	Endogenous|Food	Organosulfur compounds	Membrane	104.06597107	C5H12S
m/z=104.069969542	met6368	(±)-2-Pentanethiol	HMDB0041010	Food	Organic compounds	Membrane	104.06597107	C5H12S
m/z=104.069969542	met9136	Styrene	HMDB0034240	Food	Organic compounds	Membrane	104.06260026	C8H8
m/z=104.069969542	met28739	3-Methyl-2-butanethiol	HMDB0036180	Food	Organosulfur compounds	Membrane	104.06597107	C5H12S
m/z=104.069969542	met66138	Isopentyl mercaptan	HMDB0033902	Food	Organic compounds	Membrane	104.06597107	C5H12S
m/z=104.069969542	met11898	2-Methyl-1-butanethiol	HMDB0035418	Food	Organic compounds	Membrane	104.06597107	C5H12S
m/z=112.018782353	met30888	2,3-Dihydroxy-2,4-cyclopentadien-1-one	HMDB0039437	Food	Organic compounds	NULL	112.01604399	C5H4O3
m/z=112.018782353	met58949	Uracil	HMDB0000300	Endogenous	Organoheterocyclic compounds	Extracellular	112.02727738	C4H4N2O2
m/z=112.018782353	met1249	2-Furoic acid	HMDB0000617	Endogenous	Organoheterocyclic compounds	NULL	112.01604399	C5H4O3
m/z=112.018782353	met60745	3-Furoic acid	HMDB0000444	Endogenous	Organoheterocyclic compounds	Cytoplasm	112.01604399	C5H4O3
m/z=112.018782353	met12741	3-Hydroxy-2H-pyran-2-one	HMDB0032994	Food	Organoheterocyclic compounds	Cytoplasm|Extracellular	112.01604399	C5H4O3
m/z=113.054772099	met22195	1-Pyrroline-5-carboxylic acid	HMDB0001301	Endogenous	Organic compounds	Mitochondria	113.04767847	C5H7NO2
m/z=113.054772099	met21311	1-Pyrroline-2-carboxylic acid	HMDB0006875	Endogenous	Organic compounds	NULL	113.04767847	C5H7NO2
m/z=113.054772099	met31343	Creatinine	HMDB0000562	Endogenous	Organic acids and derivatives	Cytoplasm	113.05891186	C4H7N3O
m/z=114.054014002	met50090	Di-1-propenyl sulfide	HMDB0040234	Food	Organic compounds	Membrane	114.05032101	C6H10S
m/z=114.054014002	met71759	Di-2-propenyl sulfide	HMDB0036491	Food	Organic compounds	Cytoplasm|Extracellular	114.05032101	C6H10S
m/z=114.086329912	met69290	3-Amino-2-piperidone	HMDB0000323	Endogenous	Organic compounds	NULL	114.07931295	C5H10N2O
m/z=115.057237435	met37479	4-Amino-2-methylenebutanoic acid	HMDB0030409	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular	115.06332854	C5H9NO2
m/z=115.057237435	met19324	Acetamidopropanal	HMDB0012880	Endogenous	Organooxygen compounds	NULL	115.06332854	C5H9NO2
m/z=115.057237435	met27288	Pterolactam	HMDB0034208	Food	Organic compounds	Cytoplasm|Extracellular	115.06332854	C5H9NO2
m/z=115.057237435	met67172	D-Proline	HMDB0003411	Endogenous|Microbial	Organic compounds	Extracellular|Lysosome|Peroxisome	115.06332854	C5H9NO2
m/z=115.057237435	met65419	L-Proline	HMDB0000162	Drug metabolite|Endogenous	Organic acids and derivatives	Cytoplasm|Extracellular|Mitochondria|Lysosome|Endoplasmic reticulum	115.06332854	C5H9NO2
m/z=117.064860666	met52922	Indole	HMDB0000738	Endogenous|Microbial	Organic compounds	Membrane (predicted from logP)	117.05784923	C8H7N
m/z=117.064860666	met39307	Benzeneacetonitrile	HMDB0034171	Food	Organic compounds	Cytoplasm|Extracellular	117.05784923	C8H7N
m/z=118.068359396	met27526	Methyl 3-hydroxybutyrate	HMDB0041603	Endogenous|Food	Organic acids and derivatives	Cytoplasm|Extracellular|Membrane	118.06299418	C5H10O3
m/z=118.068359396	met62329	3-Hydroxyisovaleric acid	HMDB0000754	Endogenous	Organic compounds	Cytoplasm (predicted from logP)	118.06299419	C5H10O3
m/z=118.068359396	met60374	Erythronilic acid	HMDB0000642	Endogenous	Organic compounds	NULL	118.06299419	C5H10O3
m/z=118.068359396	met72853	3-Hydroxyvaleric acid	HMDB0000531	Endogenous	Organic compounds	Cytoplasm	118.06299419	C5H10O3
m/z=118.068359396	met20863	3-Hydroxy-2-methyl-[S-(R,R)]-butanoic acid	HMDB0000410	Endogenous	Organic compounds	Cytoplasm	118.06299419	C5H10O3
m/z=118.068359396	met27566	Ethyl lactate	HMDB0040735	Food	Organic acids and derivatives	Cytoplasm|Extracellular	118.06299419	C5H10O3
m/z=118.068359396	met63046	2-Ethylhydracrylic acid	HMDB0000396	Endogenous	Organic compounds	NULL	118.06299419	C5H10O3
m/z=118.068359396	met9359	2-Hydroxy-3-methylbutyric acid	HMDB0000407	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular|Membrane	118.06299419	C5H10O3
m/z=118.068359396	met56272	2-Hydroxyvaleric acid	HMDB0001863	Endogenous	Organic compounds	NULL	118.06299419	C5H10O3
m/z=118.068359396	met27304	2-Methyl-3-hydroxybutyric acid	HMDB0000354	Endogenous	Organic compounds	Cytoplasm (predicted from logP)	118.06299419	C5H10O3
m/z=118.068359396	met74480	2-Hydroxy-2-methylbutyric acid	HMDB0001987	Endogenous|Food	Organic compounds	Extracellular|Membrane	118.06299419	C5H10O3
m/z=118.068359396	met22008	L-2,4-diaminobutyric acid	HMDB0006284	Endogenous	Organic compounds	Cytoplasm|Extracellular|Mitochondria	118.07422757	C4H10N2O2
m/z=118.068359396	met53516	4-Hydroxyisovaleric acid	HMDB0002011	Endogenous|Food	Organic compounds	Extracellular|Membrane	118.06299419	C5H10O3
m/z=118.068359396	met66371	3-Hydroxy-2-methyl-[R-(R,S)]-butanoic acid	HMDB0000351	Endogenous	Organic compounds	NULL	118.06299419	C5H10O3
m/z=119.065398217	met12438	L-Homoserine	HMDB0000719	Endogenous|Microbial	Organic compounds	Extracellular	119.05824316	C4H9NO3
m/z=119.065398217	met49569	L-Allothreonine	HMDB0004041	Endogenous	Organic compounds	Cytoplasm (predicted from logP)	119.05824316	C4H9NO3
m/z=119.065398217	met27539	L-Threonine	HMDB0000167	Drug|Food|Plant	Organic compounds	Cytoplasm|Extracellular	119.05824316	C4H9NO3
m/z=120.039507119	met26403	Erythrose	HMDB0002649	Food	Organic compounds	Cytoplasm (predicted from logP)	120.04225874	C4H8O4
m/z=120.039507119	met45984	Purine	HMDB0001366	Endogenous	Organoheterocyclic compounds	Cytoplasm (predicted from logP)	120.04359615	C5H4N4
m/z=120.039507119	met13116	L-Erythrulose	HMDB0006293	Endogenous	Organic compounds	Cytoplasm	120.04225874	C4H8O4
m/z=120.039507119	met32079	(S)-3,4-Dihydroxybutyric acid	HMDB0000337	Endogenous	Organic compounds	NULL	120.04225874	C4H8O4
m/z=120.039507119	met16337	4-Deoxyerythronic acid	HMDB0000498	Endogenous	Organic compounds	Cytoplasm	120.04225874	C4H8O4
m/z=120.039507119	met42110	4-Deoxythreonic acid	HMDB0002453	Endogenous	Organic compounds	Cytoplasm (predicted from logP)	120.04225874	C4H8O4
m/z=120.039507119	met7076	A,b-Dihydroxyisobutyric acid	HMDB0002601	Endogenous	Organic compounds	Cytoplasm (predicted from logP)	120.04225874	C4H8O4
m/z=120.039507119	met8550	2,4-Dihydroxybutanoic acid	HMDB0000360	Endogenous	Organic compounds	NULL	120.04225874	C4H8O4
m/z=120.100973024	met1817	1,2,4-Tris(methylene)cyclohexane	HMDB0040458	Food	Organic compounds	Membrane	120.09390038	C9H12
m/z=120.100973024	met39473	Isopropylbenzene	HMDB0034029	Food	Organic compounds	Membrane	120.09390038	C9H12
m/z=120.100973024	met46239	1,2,4-Trimethylbenzene	HMDB0013733	Endogenous	Benzenoids	Membrane (predicted from logP)	120.09390038	C9H12
m/z=121.051192095	met47973	2-Acetylpyridine	HMDB0035281	Food	Organooxygen compounds	Cytoplasm|Extracellular	121.05276385	C7H7NO
m/z=121.051192095	met9418	3-Acetylpyridine	HMDB0033131	Food	Organooxygen compounds	Cytoplasm|Extracellular	121.05276385	C7H7NO
m/z=121.051192095	met66025	Benzamide	HMDB0004461	Endogenous	Benzenoids	NULL	121.05276385	C7H7NO
m/z=124.059661486	met57317	2-Methoxy-5-methylpyrazine	HMDB0040141	Food	Organic compounds	Cytoplasm|Extracellular	124.06366289	C6H8N2O
m/z=124.059661486	met4146	Guaiacol	HMDB0001398	Endogenous	Organic compounds	NULL	124.0524295	C7H8O2
m/z=124.059661486	met35566	4-Methylcatechol	HMDB0000873	Endogenous	Organic compounds	NULL	124.0524295	C7H8O2
m/z=124.059661486	met52907	Methylimidazole acetaldehyde	HMDB0004181	Endogenous	Organic compounds	NULL	124.06366289	C6H8N2O
m/z=124.059661486	met42872	2-Methoxy-3-methylpyrazine	HMDB0031852	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular	124.06366289	C6H8N2O
m/z=124.059661486	met36260	2-Methoxy-6-methylpyrazine	HMDB0040143	Food	Organic compounds	Cytoplasm|Extracellular	124.06366289	C6H8N2O
m/z=124.059661486	met64792	4-Hydroxybenzyl alcohol	HMDB0011724	Endogenous	Organic compounds	NULL	124.0524295	C7H8O2
m/z=124.059661486	met67099	1-(2-Furanyl)-2-propanone	HMDB0032917	Food	Organoheterocyclic compounds	Cytoplasm|Extracellular	124.0524295	C7H8O2
m/z=124.059661486	met73632	Mequinol	HMDB0029696	Endogenous|Food	Benzenoids	Cytoplasm|Extracellular	124.0524295	C7H8O2
m/z=124.059661486	met3311	4,6-Heptadiyne-1,3-diol	HMDB0038963	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular|Membrane	124.0524295	C7H8O2
m/z=124.059661486	met56670	1-(2-Furanyl)-1-propanone	HMDB0040280	Food	Organooxygen compounds	Extracellular|Cytoplasm	124.0524295	C7H8O2
m/z=124.059661486	met21022	2-Acetyl-5-methylfuran	HMDB0035226	Food	Organic compounds	Cytoplasm|Extracellular	124.0524295	C7H8O2
m/z=124.059661486	met36030	2-Acetyl-3-methylfuran	HMDB0034877	Food	Organooxygen compounds	Cytoplasm|Extracellular	124.0524295	C7H8O2
m/z=129.065078404	met67737	3-Methylene-indolenine	HMDB0011664	Endogenous	Organic compounds	Membrane (predicted from logP)	129.05784923	C9H7N
m/z=129.065078404	met31169	2,5-Dihydro-2,4,5-trimethylthiazole	HMDB0038973	Food	Organic compounds	Cytoplasm|Extracellular	129.06122005	C6H11NS
m/z=129.065078404	met2773	Isoamyl isothiocyanate	HMDB0032341	Endogenous|Food	Organosulfur compounds	Membrane	129.06122005	C6H11NS
m/z=129.065078404	met69345	Quinoline	HMDB0033731	Food	Organic compounds	Cytoplasm|Extracellular	129.05784923	C9H7N
m/z=129.065078404	met24165	1-Isothiocyanatopentane	HMDB0038433	Food	Organosulfur compounds	Membrane	129.06122005	C6H11NS
m/z=129.065078404	met73693	Isoquinoline	HMDB0034244	Drug|Food	Organoheterocyclic compounds	Cytoplasm|Extracellular	129.05784923	C9H7N
m/z=131.080806509	met50114	3-Methylindole	HMDB0000466	Endogenous	Organoheterocyclic compounds	Membrane (predicted from logP)	131.07349929	C9H9N
m/z=131.080806509	met70785	Benzenepropanenitrile	HMDB0034236	Food	Benzenoids	Cytoplasm|Extracellular	131.07349929	C9H9N
m/z=131.080806509	met41244	(±)-2-Propylthiazolidine	HMDB0040058	Food	Organic compounds	Cytoplasm|Extracellular	131.07687011	C6H13NS
m/z=132.084291927	met11377	(+/-)-1-Acetoxy-1-ethoxyethane	HMDB0032158	Endogenous|Food	Organic acids and derivatives	Cytoplasm|Extracellular	132.07864425	C6H12O3
m/z=132.084291927	met37995	Paraldehyde	HMDB0032456	Endogenous|Food	Organoheterocyclic compounds	Cytoplasm|Extracellular	132.07864425	C6H12O3
m/z=132.084291927	met12900	(5R)-5-Hydroxyhexanoic acid	HMDB0000409	Endogenous	Organic compounds	Cytoplasm	132.07864425	C6H12O3
m/z=132.084291927	met48878	p-Mentha-1,3,5,8-tetraene	HMDB0029641	Endogenous|Food	Benzenoids	Extracellular|Membrane	132.09390038	C10H12
m/z=132.084291927	met35449	5-Hydroxyhexanoic acid	HMDB0000525	Endogenous	Organic compounds	Cytoplasm	132.07864425	C6H12O3
m/z=132.084291927	met29067	D-Ornithine	HMDB0003374	Endogenous	Organic compounds	Peroxisome	132.08987764	C5H12N2O2
m/z=132.084291927	met50464	2-Hydroxy-3-methylpentanoic acid	HMDB0000317	Endogenous|Food	Organic compounds	Extracellular|Membrane	132.07864425	C6H12O3
m/z=132.084291927	met31352	Ornithine	HMDB0000214	Endogenous	Organic acids and derivatives	Extracellular|Mitochondria	132.08987764	C5H12N2O2
m/z=132.084291927	met44311	2-Hydroxycaproic acid	HMDB0001624	Endogenous	Organic compounds	NULL	132.07864425	C6H12O3
m/z=132.084291927	met62945	2-Ethyl-2-Hydroxybutyric acid	HMDB0001975	Endogenous|Food	Organic compounds	Extracellular|Membrane	132.07864425	C6H12O3
m/z=132.084291927	met2172	Butoxyacetic acid	HMDB0041844	Endogenous	Organic compounds	NULL	132.07864425	C6H12O3
m/z=132.084291927	met3006	Leucinic acid	HMDB0000665	Endogenous|Food|Microbial	Organic compounds	Extracellular|Membrane	132.07864425	C6H12O3
m/z=132.084291927	met23558	4,4-Dimethoxy-2-butanone	HMDB0033851	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular|Membrane	132.07864425	C6H12O3
m/z=132.084291927	met13779	Ethyl (±)-3-hydroxybutyrate	HMDB0040409	Food	Organic compounds	Cytoplasm|Extracellular	132.07864425	C6H12O3
m/z=132.084291927	met29755	L-Ornithine monochlorohydrate/ornithine	HMDB0032455	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular	132.08987764	C5H12N2O2
m/z=132.084291927	met19425	D-Leucic acid	HMDB0000624	Endogenous|Food	Organic compounds	Extracellular|Membrane	132.07864425	C6H12O3
m/z=132.084291927	met45280	6-Hydroxyhexanoic acid	HMDB0012843	Endogenous	Organic compounds	NULL	132.07864425	C6H12O3
m/z=132.084291927	met4609	Hydroxyisocaproic acid	HMDB0000746	Endogenous|Food	Organic compounds	Extracellular|Membrane	132.07864425	C6H12O3
m/z=132.084291927	met5492	(R)-3-Hydroxyhexanoic acid	HMDB0010718	Endogenous	Organic compounds	NULL	132.07864425	C6H12O3
m/z=134.116706865	met15923	p-Mentha-1,3,8-triene	HMDB0037013	Endogenous|Food	Organic compounds	Extracellular|Membrane	134.10955045	C10H14
m/z=134.116706865	met44923	1-Isopropyl-3-methylbenzene	HMDB0037051	Food	Benzenoids	Membrane	134.10955045	C10H14
m/z=134.116706865	met13372	1-Methyl-2-propylbenzene	HMDB0032627	Endogenous|Food	Benzenoids	Membrane	134.10955045	C10H14
m/z=134.116706865	met57699	1-Isopropyl-2-methylbenzene	HMDB0037050	Food	Organic compounds	Membrane	134.10955045	C10H14
m/z=137.054934482	met12524	3-Pyridylacetic acid	HMDB0001538	Endogenous	Organic compounds	NULL	137.04767847	C7H7NO2
m/z=137.054934482	met9360	Trigonelline	HMDB0000875	Endogenous|Food	Organic compounds	Cytoplasm	137.04767847	C7H7NO2
m/z=137.054934482	met65339	p-Aminobenzoic acid	HMDB0001392	Endogenous|Microbial	Benzenoids	NULL	137.04767847	C7H7NO2
m/z=137.054934482	met74216	Methyl nicotinate	HMDB0029806	Endogenous|Food	Organoheterocyclic compounds	Cytoplasm|Extracellular	137.04767847	C7H7NO2
