name,mz,rt,MS2.spectrum.name,Candidate.number,Identification,Level
M93T135,93.02623566,135.2778015,mz93.026203814134rt137.422806,1,Compound.name:PHENOL;CAS.ID:NA;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:RPLC_308;Adduct:(M-H)-;mz.error:20.91546;mz.match.score:0.7047125;RT.error:64.59837;RT.match.score:0.7729125;CE:NCE25;SS:0.7150707;Total.score:0.7269416;MS2.spectra.name:mz93.026203814134rt137.422806;Database:msDatabase_rplc0.0.1;Dataset.index:2,1
M119T111,119.0346193,110.8062477,mz119.03482303872rt109.443492,1,Compound.name:PURINE;CAS.ID:NA;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:RPLC_247;Adduct:(M-H)-;mz.error:3.692403;mz.match.score:0.9891522;RT.error:19.44349;RT.match.score:0.9769338;CE:NCE25;SS:0.4151099;Total.score:0.6990764;MS2.spectra.name:mz119.03482303872rt109.443492;Database:msDatabase_rplc0.0.1;Dataset.index:1,1
M122T112,122.0244973,111.7976303,mz122.024646508717rt130.850214,1,Compound.name:NICOTINATE;CAS.ID:NA;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:RPLC_268;Adduct:(M-H)-;mz.error:0.2087282;mz.match.score:0.9999651;RT.error:85.25021;RT.match.score:0.6385105;CE:NCE25;SS:0.7046761;Total.score:0.761957;MS2.spectra.name:mz122.024646508717rt130.850214;Database:msDatabase_rplc0.0.1;Dataset.index:1,1
M125T111,124.9912142,111.4658966,mz124.991088867188rt99.249792,1,Compound.name:Isethionic acid sodium salt;CAS.ID:NA;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:RPLC_76;Adduct:(M-H)-;mz.error:0.777832;mz.match.score:0.9995161;RT.error:66.24979;RT.match.score:0.7626713;CE:NCE50;SS:0.7502464;Total.score:0.8156701;MS2.spectra.name:mz124.991088867188rt99.249792;Database:msDatabase_rplc0.0.1;Dataset.index:2,1
M194T113,194.0491481,112.5405235,mz194.04549540806rt150.094698,1,Compound.name:Hydroxyhippurate;CAS.ID:487-54-7;HMDB.ID:HMDB00840;KEGG.ID:C07588;Lab.ID:RPLC_912;Adduct:(M-H)-;mz.error:1.57398;mz.match.score:0.99802;RT.error:17.9053;RT.match.score:0.9804044;CE:NCE50;SS:0.7084883;Total.score:0.8488502;MS2.spectra.name:mz194.04549540806rt150.094698;Database:msDatabase_rplc0.0.1;Dataset.index:2,1
M255T809,255.2324338,808.803009,mz255.232620239258rt834.74388,1,Compound.name:PALMITATE;CAS.ID:NA;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:RPLC_303;Adduct:(M-H)-;mz.error:0.7744019;mz.match.score:0.9995204;RT.error:73.34388;RT.match.score:0.7174464;CE:NCE25;SS:0.6946679;Total.score:0.7765757;MS2.spectra.name:mz255.232620239258rt834.74388;Database:msDatabase_rplc0.0.1;Dataset.index:1,1
M521T628,521.2381542,628.3130493,mz521.240213914035rt585.439668,1,Compound.name:Tetrahydroaldosterone-3-glucuronide(2);CAS.ID:20605-81-6;HMDB.ID:HMDB10357;KEGG.ID:NA;Lab.ID:RPLC_645;Adduct:(M-H2O-H)-;mz.error:2.664633;mz.match.score:0.9943359;RT.error:56.08134;RT.match.score:0.8235401;CE:NCE25;SS:0.513749;Total.score:0.7113435;MS2.spectra.name:mz521.240213914035rt585.439668;Database:msDatabase_rplc0.0.1;Dataset.index:1,1
M73T208,73.02789076,207.6995697,mz73.027938842773rt214.386792,1,Compound.name:Propionic acid;CAS.ID:79-09-4;HMDB.ID:HMDB00237;KEGG.ID:C00163;Lab.ID:M0387;Adduct:(M-H)-;mz.error:3.902893;mz.match.score:0.9878879;RT.error:NA;RT.match.score:NA;CE:30;SS:0.7381762;Total.score:0.8318181;MS2.spectra.name:mz73.027938842773rt214.386792;Database:metlinDatabase0.0.1;Dataset.index:9,2
M73T140,73.02792632,139.9619446,mz73.027931213379rt140.740812,1,Compound.name:Propionic acid;CAS.ID:79-09-4;HMDB.ID:HMDB00237;KEGG.ID:C00163;Lab.ID:M0387;Adduct:(M-H)-;mz.error:3.921967;mz.match.score:0.9877699;RT.error:NA;RT.match.score:NA;CE:30;SS:0.7297489;Total.score:0.8265068;MS2.spectra.name:mz73.027931213379rt140.740812;Database:metlinDatabase0.0.1;Dataset.index:9,2
M74T141,74.02316779,140.9147034,mz74.024681091309rt147.111828,1,Compound.name:Glycine;CAS.ID:56-40-6;HMDB.ID:HMDB00123;KEGG.ID:NA;Lab.ID:S0038;Adduct:(M-H)-;mz.error:0.1222717;mz.match.score:0.999988;RT.error:NA;RT.match.score:NA;CE:25;SS:0.7198687;Total.score:0.8249134;MS2.spectra.name:mz74.024681091309rt147.111828;Database:nistDatabase0.0.1;Dataset.index:11,2
M74T396,74.02301777,396.0868988,mz74.024711608887rt396.994362,1,Compound.name:Glycine;CAS.ID:56-40-6;HMDB.ID:HMDB00123;KEGG.ID:C00037;Lab.ID:M0168;Adduct:(M-H)-;mz.error:0.02902222;mz.match.score:0.9999993;RT.error:NA;RT.match.score:NA;CE:20;SS:0.7112924;Total.score:0.8195575;MS2.spectra.name:mz74.024711608887rt396.994362;Database:metlinDatabase0.0.1;Dataset.index:3,2
M75T1140,75.00638827,1140.401123,mz75.00643157959rt1151.38728,1,Compound.name:Glycolate;CAS.ID:79-14-1;HMDB.ID:HMDB00115;KEGG.ID:NA;Lab.ID:L0001;Adduct:(M-H)-;mz.error:5.796051;mz.match.score:0.9734826;RT.error:NA;RT.match.score:NA;CE:20;SS:0.7510476;Total.score:0.8344607;MS2.spectra.name:mz75.00643157959rt1151.38728;Database:nistDatabase0.0.1;Dataset.index:11,2
M79T110,78.95588354,110.4416428,mz78.955833435059rt106.582422,1,Compound.name:Ortophosphate;CAS.ID:NA;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:MONA_18505;Adduct:(M-H2O-H)-;mz.error:7.904427;mz.match.score:0.9512447;RT.error:NA;RT.match.score:NA;CE:20;SS:0.7657906;Total.score:0.8353359;MS2.spectra.name:mz78.955833435059rt106.582422;Database:monaDatabase0.0.1;Dataset.index:4,2
M79T394,78.9557775,393.9119263,mz78.95581817627rt340.174908,1,Compound.name:Ortophosphate;CAS.ID:NA;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:MONA_18505;Adduct:(M-H2O-H)-;mz.error:7.942574;mz.match.score:0.9507847;RT.error:NA;RT.match.score:NA;CE:20;SS:0.7968569;Total.score:0.8545798;MS2.spectra.name:mz78.95581817627rt340.174908;Database:monaDatabase0.0.1;Dataset.index:10,2
M85T1110,85.02427093,1110.494141,mz85.024406433105rt1122.2823,1,"Compound.name:1,4-Butynediol;CAS.ID:NA;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:MONA_15372;Adduct:(M-H)-;mz.error:12.6825;mz.match.score:0.8792583;RT.error:NA;RT.match.score:NA;CE:HCD (NCE 20-30-40%);SS:0.6636607;Total.score:0.7445098;MS2.spectra.name:mz85.024406433105rt1122.2823;Database:monaDatabase0.0.1;Dataset.index:4",2
M85T125,85.0243501,125.4738388,mz85.024411984276rt131.33343,1,"Compound.name:1,4-Butynediol;CAS.ID:NA;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:MONA_15372;Adduct:(M-H)-;mz.error:12.66862;mz.match.score:0.8795058;RT.error:NA;RT.match.score:NA;CE:HCD (NCE 20-30-40%);SS:0.7254902;Total.score:0.7832461;MS2.spectra.name:mz85.024411984276rt131.33343;Database:monaDatabase0.0.1;Dataset.index:4",2
M85T397,85.02426264,397.354126,mz85.024345397949rt402.214428,1,"Compound.name:1,4-Butynediol;CAS.ID:NA;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:MONA_15372;Adduct:(M-H)-;mz.error:12.83509;mz.match.score:0.8765237;RT.error:NA;RT.match.score:NA;CE:HCD (NCE 20-30-40%);SS:0.6943425;Total.score:0.7626605;MS2.spectra.name:mz85.024345397949rt402.214428;Database:monaDatabase0.0.1;Dataset.index:10",2
M87T503,87.00260412,503.474823,mz87.002662658691rt456.625344,1,Compound.name:Pyruvate;CAS.ID:127-17-3;HMDB.ID:HMDB00243;KEGG.ID:NA;Lab.ID:L0002;Adduct:(M-H)-;mz.error:15.21835;mz.match.score:0.8308728;RT.error:NA;RT.match.score:NA;CE:10;SS:0.6818194;Total.score:0.7377144;MS2.spectra.name:mz87.002662658691rt456.625344;Database:nistDatabase0.0.1;Dataset.index:5,2
M87T759,87.00237538,758.8496094,mz87.002662658691rt726.88494,1,Compound.name:Pyruvate;CAS.ID:127-17-3;HMDB.ID:HMDB00243;KEGG.ID:NA;Lab.ID:L0002;Adduct:(M-H)-;mz.error:15.21835;mz.match.score:0.8308728;RT.error:NA;RT.match.score:NA;CE:10;SS:0.6913078;Total.score:0.7436447;MS2.spectra.name:mz87.002662658691rt726.88494;Database:nistDatabase0.0.1;Dataset.index:11,2
