name,mz,rt,MS2.spectrum.name,Candidate.number,Level,Compound.name,CAS.ID,HMDB.ID,KEGG.ID,Lab.ID,Adduct,mz.error,mz.match.score,RT.error,RT.match.score,CE,SS,Total.score,Database
M93T135,93.02623566,135.2778015,mz93.026203814134rt137.422806,1,1,PHENOL,NA,NA,NA,RPLC_308,(M-H)-,20.91546,0.7047125,64.59837,0.7729125,NCE25,0.7150707,0.7269416,msDatabase_rplc0.0.1
M119T111,119.0346193,110.8062477,mz119.03482303872rt109.443492,1,1,PURINE,NA,NA,NA,RPLC_247,(M-H)-,3.692403,0.9891522,19.44349,0.9769338,NCE25,0.4151099,0.6990764,msDatabase_rplc0.0.1
M122T112,122.0244973,111.7976303,mz122.024646508717rt130.850214,1,1,NICOTINATE,NA,NA,NA,RPLC_268,(M-H)-,0.2087282,0.9999651,85.25021,0.6385105,NCE25,0.7046761,0.761957,msDatabase_rplc0.0.1
M125T111,124.9912142,111.4658966,mz124.991088867188rt99.249792,1,1,Isethionic acid sodium salt,NA,NA,NA,RPLC_76,(M-H)-,0.777832,0.9995161,66.24979,0.7626713,NCE50,0.7502464,0.8156701,msDatabase_rplc0.0.1
M194T113,194.0491481,112.5405235,mz194.04549540806rt150.094698,1,1,Hydroxyhippurate,487-54-7,HMDB00840,C07588,RPLC_912,(M-H)-,1.57398,0.99802,17.9053,0.9804044,NCE50,0.7084883,0.8488502,msDatabase_rplc0.0.1
M255T809,255.2324338,808.803009,mz255.232620239258rt834.74388,1,1,PALMITATE,NA,NA,NA,RPLC_303,(M-H)-,0.7744019,0.9995204,73.34388,0.7174464,NCE25,0.6946679,0.7765757,msDatabase_rplc0.0.1
M521T628,521.2381542,628.3130493,mz521.240213914035rt585.439668,1,1,Tetrahydroaldosterone-3-glucuronide(2),20605-81-6,HMDB10357,NA,RPLC_645,(M-H2O-H)-,2.664633,0.9943359,56.08134,0.8235401,NCE25,0.513749,0.7113435,msDatabase_rplc0.0.1
M73T208,73.02789076,207.6995697,mz73.027938842773rt214.386792,1,2,Propionic acid,79-09-4,HMDB00237,C00163,M0387,(M-H)-,3.902893,0.9878879,NA,NA,30,0.7381762,0.8318181,metlinDatabase0.0.1
M73T140,73.02792632,139.9619446,mz73.027931213379rt140.740812,1,2,Propionic acid,79-09-4,HMDB00237,C00163,M0387,(M-H)-,3.921967,0.9877699,NA,NA,30,0.7297489,0.8265068,metlinDatabase0.0.1
M74T141,74.02316779,140.9147034,mz74.024681091309rt147.111828,1,2,Glycine,56-40-6,HMDB00123,NA,S0038,(M-H)-,0.1222717,0.999988,NA,NA,25,0.7198687,0.8249134,nistDatabase0.0.1
