"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"5-Methyluridine","Ribothymidine","HMDB0000884","445408","","CC1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O","1"
"Resveratrol","Resveratrol","HMDB0003747","445154","C03582","C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O","1"
"4-Methylvaleric acid","Isocaproic acid","HMDB0000689","12587","","CC(C)CCC(=O)O","1"
"2-Aminophenol","2-Aminophenol","METPA0236",NA,"C01987",NA,"1"
"1,3-Benzenediol","1,3-Benzenediol","HMDB0032037","5054","C01751","C1=CC(=CC(=C1)O)O","1"
"Cytosine","Cytosine","HMDB0000630","597","C00380","C1=C(NC(=O)N=C1)N","1"
"Phenylacetaldehyde","Phenylacetaldehyde","HMDB0006236","998","C00601","C1=CC=C(C=C1)CC=O","1"
"Pyrazine-2-carboxylic acid","NA","NA","NA","NA","NA","0"
"3-Methylglutaric acid","Methylglutaric acid","HMDB0000752","12284","","CC(CC(=O)O)CC(=O)O","1"
"1-Hydroxybenzotriazole","NA","NA","NA","NA","NA","0"
"3-Acetoxypyridine","NA","NA","NA","NA","NA","0"
".gamma.-Nonalactone","NA","NA","NA","NA","NA","0"
"Cuminaldehyde","Cuminaldehyde","HMDB0002214","326","C06577","CC(C)C1=CC=C(C=C1)C=O","1"
"L-Methionine","L-Methionine","HMDB0000696","6137","C00073","CSCC[C@@H](C(=O)O)N","1"
"2,3-Dimethoxyphenol","NA","NA","NA","NA","NA","0"
"Phloroglucinocarboxaldehyde","NA","NA","NA","NA","NA","0"
"2,3-Dimethylhydroquinone","NA","NA","NA","NA","NA","0"
"D-Alanyl-D-alanine (D-Ala-D-Ala)","NA","NA","NA","NA","NA","0"
"Phenethylacetate","NA","NA","NA","NA","NA","0"
"L-Phenylalanine","L-Phenylalanine","HMDB0000159","6140","C00079","C1=CC=C(C=C1)C[C@@H](C(=O)O)N","1"
"Epinephrine","Epinephrine","HMDB0000068","5816","C00788","CNC[C@@H](C1=CC(=C(C=C1)O)O)O","1"
"Phenylalanine","L-Phenylalanine","HMDB0000159","6140","C00079","C1=CC=C(C=C1)C[C@@H](C(=O)O)N","1"
"3-Hydroxyacetaminophen","NA","NA","NA","NA","NA","0"
"Jasmine lactone","NA","NA","NA","NA","NA","0"
"Penicillic acid","NA","NA","NA","NA","NA","0"
"cis-2-Decenoic acid","trans-Dec-2-enoic acid","HMDB0010726","5282724","","CCCCCCC/C=C/C(=O)O","1"
"L-Tyrosine","L-Tyrosine","HMDB0000158","6057","C00082","C1=CC(=CC=C1C[C@@H](C(=O)O)N)O","1"
"Leu-Ala","Leucyl-Alanine","HMDB0028922",NA,"","CC(C)CC(N)C(=O)NC(C)C(O)=O","1"
"D-2-Phosphoglyceric acid","NA","NA","NA","NA","NA","0"
"alpha-Guanidinoglutaric Acid","NA","NA","NA","NA","NA","0"
"Hippuric acid, methyl ester","NA","NA","NA","NA","NA","0"
"O-Desmethylnaproxen","O-Desmethylnaproxen","HMDB0013989","162920","","CC(C1=CC2=C(C=C1)C=C(C=C2)O)C(=O)O","1"
"NG,NG-Dimethyl-L-arginine","Asymmetric dimethylarginine","HMDB0001539","123831","C03626","CN(C)C(=NCCC[C@@H](C(=O)O)N)N","1"
"9,10-Phenanthrenedione","NA","NA","NA","NA","NA","0"
"Cyclo(Leu-Pro)","L,L-Cyclo(leucylprolyl)","HMDB0034276","102892","","CC(C)CC1C(=O)N2CCCC2C(=O)N1","1"
"Atipamezole","NA","NA","NA","NA","NA","0"
"Pro-Thr","Prolyl-Threonine","HMDB0029027",NA,"","CC(O)C(NC(=O)C1CCCN1)C(O)=O","1"
"5-Acetylamino-6-formylamino-3-methyluracil","5-Acetylamino-6-formylamino-3-methyluracil","HMDB0011105","108214","","CC(=O)NC1=C(NC(=O)N(C1=O)C)NC=O","1"
"D-Biotin","Biotin","HMDB0000030","171548","C00120","C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2","1"
"4-Hydroxyphenylpyruvic acid","4-Hydroxyphenylpyruvic acid","HMDB0000707","979","C01179","C1=CC(=CC=C1CC(=O)C(=O)O)O","1"
"Irgarol","NA","NA","NA","NA","NA","0"
"(2R)-3-Hydroxyisovaleroylcarnitine","NA","NA","NA","NA","NA","0"
"4-BENZOYLBUTYRIC ACID","NA","NA","NA","NA","NA","0"
"(-)-Naringenin","Naringenin","HMDB0002670","439246","C00509","C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O","1"
"1H-Pyrrole-3-carboxylic acid, 2,5-dihydro-4-hydroxy-5-oxo-1-(phenylmethyl)-, ethyl ester","NA","NA","NA","NA","NA","0"
"Brazilin","NA","NA","NA","NA","NA","0"
"Lauroyl diethanolamide","Lauroyl diethanolamide","HMDB0032358","8430","","CCCCCCCCCCCC(=O)N(CCO)CCO","1"
"9-Oxo-10E,12Z,15Z-octadecatrienoic acid","NA","NA","NA","NA","NA","0"
"3,7-Dihydroxy-3',4'-dimethoxyflavone","NA","NA","NA","NA","NA","0"
"5'-S-Methyl-5'-thioadenosine","5'-Methylthioadenosine","HMDB0001173","439176","C00170","CSC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O","1"
"(Methylenecyclopropyl)acetyl-L-carnitine","NA","NA","NA","NA","NA","0"
"16.alpha.-Hydroxy-4-androstene-3,17-dione","NA","NA","NA","NA","NA","0"
