"name","mz","rt","MS2.spectrum.name","Candidate.number","Level","Compound.name","CAS.ID","HMDB.ID","KEGG.ID","Lab.ID","Adduct","mz.error","mz.match.score","RT.error","RT.match.score","CE","SS"
"M153T215_POS",153.0548285,215.0445557,"mz153.054509742771rt205.871166",1,1,"RESORCINOL MONOACETATE",NA,NA,NA,"RPLC_352","(M+H)+",0.3506431,0.9999016,36.53237,0.9209186,"NCE25",0.5425371
"M259T129_POS",259.0923507,129.0793915,"mz259.092497717259rt99.702444",1,1,"5-Methyluridine",NA,"HMDB0000884",NA,"RPLC_70","(M+H)+",0.005706852,1,50.52974,0.8541843,"NCE25",0.7123927
"M125T1006_POS",125.0390212,1005.710388,"mz125.039039611816rt998.27826",1,2,"Pyrazine-2-carboxylic acid","98-97-5","HMDB59734",NA,"NO07411","(M+H)+",11.09903,0.9061497,NA,NA,"10",0.474756
"M130T520_POS",130.0653788,519.6225281,"mz130.065277099609rt568.069542",1,2,"Quinoline","91-22-5","HMDB33731","C06413","shen_5073_HMDB33731","(M+H)+",0.3196765,0.9999182,NA,NA,"Unknown_6",0.7412009
"M136T130_POS",136.0481926,130.471817,"mz136.048141479492rt95.992008",1,2,"1-Hydroxybenzotriazole","2592-95-2",NA,NA,"MONA_913","(M+H)+",6.050751,0.9711355,NA,NA,"15 (nominal)",0.5464633
"M138T710_POS",138.0550426,710.0646973,"mz138.05479452754rt719.41596",1,2,"3-Acetoxypyridine","17747-43-2",NA,NA,"NO07604","(M+H)+",0.5136811,0.9997889,NA,NA,"5",0.6351042
"M155T1045_POS",155.0294988,1044.528137,"mz155.029556274414rt1028.02662",1,2,"Phloroglucinocarboxaldehyde","487-70-7",NA,NA,"NO00121","(M+H)+",10.85931,0.9099735,NA,NA,"15",0.5079335
"M167T489_POS",167.0705831,488.8953552,"mz167.070439116179rt488.343624",1,2,"3,4-Dimethoxybenzaldehyde",NA,"HMDB0032138","C02201","MONA_14591","(M+H)+",0.3623404,0.999895,NA,NA,"HCD (NCE 20-30-40%)",0.4955715
"M167T209_POS",167.0739226,209.2136888,"mz167.069778442383rt174.311112",1,2,"Apocynin","498-02-2",NA,NA,"NO00317","(M+H)+",1.303894,0.9986408,NA,NA,"10",0.673198
"M171T751_POS",171.1380031,751.0812988,"mz171.137598684244rt738.9627",1,2,"cis-2-Decenoic acid","15790-91-7","HMDB0010726",NA,"NO00419","(M+H)+",1.003289,0.9991951,NA,NA,"5",0.4642345
"M199T103_POS",199.0634584,103.3500938,"mz199.063674926758rt100.952244",1,2,"Monuron","150-68-5",NA,NA,"MassBank_1485","(M+H)+",2.437317,0.9952589,NA,NA,"15 % (nominal)",0.4575705
"M199T805_POS",199.1693577,805.085083,"mz199.169395647822rt779.97366",1,2,"3-Hydroxydodecanoic acid","53941-38-1","HMDB00387",NA,"n00869","(M+H-H2O)+",0.3891196,0.9998789,NA,NA,"30",0.4062687
"M209T304_POS",209.092086,304.3554382,"mz209.092199952417rt267.438642",1,2,"Kynurenine","343-65-7","HMDB00684","C00328","M1580","(M+H)+",0.249881,0.99995,NA,NA,"30",0.7736122
"M219T639_POS",219.1381118,638.8427124,"mz219.138072657263rt695.3331",1,2,"3-Furancarboxylic acid, tetrahydro-4-methylene-2-octyl-5-oxo-, (2R,3S)-rel-","191282-48-1",NA,NA,"NO02324","(M+H-2H2O)+",0.4316432,0.999851,NA,NA,"30",0.5837653
"M231T636_POS",231.1590739,635.6603088,"mz231.159261244016rt596.744184",1,2,"gamma-Undecalactone","104-67-6",NA,NA,"MassBank_14202","(M+HCOO+2H)+",0.32811,0.9999139,NA,NA,"20",0.4231699
"M244T970_POS",244.0603428,969.8951416,"mz244.060245571911rt982.7628",1,2,"4-Hydroxyphenylpyruvic acid","156-39-8","HMDB00707","C01179","shen_1211_HMDB00707","(M+CH3CN+Na)+",5.46707,0.9763725,NA,NA,"Unknown_1",0.4658202
"M286T125_POS",286.1396429,124.7478638,"mz286.139587402344rt103.68219",1,2,"Prolyl-Glutamate","3303-31-9","HMDB29016",NA,"n01041","(M+CH3CN+H)+",0.3314941,0.9999121,NA,NA,"40",0.4190124
"M288T890_POS",288.2530871,890.1518555,"mz288.254097553855rt833.23716",1,2,"Lauroyl diethanolamide","120-40-1","HMDB32358",NA,"shen_4958_HMDB32358","(M+H)+",1.884067,0.9971643,NA,NA,"Unknown_1",0.515929
"M297T807_POS",297.0822745,806.9975281,"mz297.082329824172rt808.48602",1,2,"3,7-Dihydroxy-3',4'-dimethoxyflavone","93322-61-3",NA,NA,"NO04053","(M+H-H2O)+",16.57456,0.8027011,NA,NA,"40",0.4725807
"M298T447_POS",298.090902,446.5611267,"mz298.096626840082rt410.563962",1,2,"5'-S-Methyl-5'-thioadenosine","2457-80-9","HMDB01173","C00170","NO03519","(M+H)+",0.6828998,0.999627,NA,NA,"35",0.7630615
"M302T764_POS",302.1830101,763.7976685,"mz302.180633544922rt818.57754",1,2,"Dobutamine",NA,"HMDB0014979","C06967","MassBank_18025","(M+H)+",13.85886,0.8575683,NA,NA,"10",0.5081639
"M309T450_POS",309.0824076,450.2210693,"mz309.082471824776rt414.656526",1,2,"Alprazolam",NA,"HMDB0014548","C06817","MONA_14692","(M+H)+",19.25568,0.7433228,NA,NA,"HCD (NCE 20-30-40%)",0.5923253
