name,mz,rt,MS2.spectrum.name,Candidate.number,Level,Compound.name,CAS.ID,HMDB.ID,KEGG.ID,Lab.ID,Adduct,mz.error,mz.match.score,RT.error,RT.match.score,CE,SS,Total.score,Database
M96T127,96.0444801,127.1675568,mz96.044495985613rt144.552468,1,1,2-HYDROXYPYRIDINE,NA,NA,NA,RPLC_327,(M+H)+,0.214964,0.999963,78.55247,0.68325,NCE25,0.7410393,0.7913229,msDatabase_rplc0.0.1
M139T133,139.0524453,132.8482666,mz139.050090962467rt110.81325,1,1,Urocanic acid,NA,NA,NA,RPLC_103,(M+H)+,0.3425938,0.9999061,77.81325,0.6881425,NCE25,0.5313308,0.6876776,msDatabase_rplc0.0.1
M146T126,146.0923075,126.4336548,mz146.092408553275rt94.87845,1,1,Gamma-Guanidinobutyric acid,NA,NA,NA,RPLC_81,(M+H)+,0.02138319,0.9999996,61.87845,0.7895008,NCE25,0.437033,0.6658916,msDatabase_rplc0.0.1
M153T215,153.0548285,215.0445557,mz153.054509742771rt205.871166,1,1,RESORCINOL MONOACETATE,NA,NA,NA,RPLC_352,(M+H)+,0.3506431,0.9999016,36.53237,0.9209186,NCE25,0.5425371,0.7514736,msDatabase_rplc0.0.1
M170T314,170.0600578,314.0162506,mz170.060195909354rt331.822314,1,1,3-Indoleacrylic acid,NA,NA,NA,RPLC_24,(M+H-H2O)+,0.4897734,0.9998081,10.22231,0.9935704,NCE50,0.6281998,0.8124445,msDatabase_rplc0.0.1
M259T129,259.0923507,129.0793915,mz259.092497717259rt99.702444,1,1,5-Methyluridine,NA,NA,NA,RPLC_70,(M+H)+,0.005706852,1,50.52974,0.8541843,NCE25,0.7123927,0.8197424,msDatabase_rplc0.0.1
M274T128,274.0920708,128.4348221,mz274.092676329347rt110.122152,1,1,N-ACETYLNEURAMINATE,NA,NA,NA,RPLC_259,(M+H-2H2O)+,1.490823,0.9982235,75.32215,0.7045391,NCE25,0.6071164,0.7292489,msDatabase_rplc0.0.1
M292T338,292.0783786,338.4049988,mz292.085552362483rt315.974454,1,1,Resveratrol,NA,NA,NA,RPLC_69,(M+CH3CN+Na)+,22.11909,0.6761073,9.29651,0.9946793,NCE50,0.4075681,0.6214807,msDatabase_rplc0.0.1
M292T105,292.1025884,104.6206818,mz292.102923371527rt113.387004,1,1,N-ACETYLNEURAMINATE,NA,NA,NA,RPLC_259,(M+H-H2O)+,0.6084288,0.9997039,78.587,0.6830211,NCE25,0.5180716,0.6797171,msDatabase_rplc0.0.1
M348T134,348.0746889,133.9673462,mz348.071266227879rt138.037398,1,1,AMP (Adenosine 3'-Monophosphate Hydrate),NA,NA,NA,RPLC_40,(M+H)+,2.16557,0.9962553,66.6374,0.7602503,NCE50,0.6462271,0.76224,msDatabase_rplc0.0.1
