"","batch1","batch2"
"1","M71T549","M71T579"
"2","M71T269","M71T286"
"3","M72T551","M72T581"
"4","M73T682","M73T605"
"5","M73T208","M73T218"
"6","M74T396","M74T416"
"7","M74T331","M74T254"
"8","M75T549","M75T587"
"9","M76T565","M76T583"
"10","M76T668","M76T671"
"11","M77T400","M77T421"
"12","M79T110","M79T98"
"13","M80T449","M80T466"
"14","M81T335","M81T364"
"15","M81T106","M81T95"
"16","M81T236","M81T277"
"17","M82T596","M82T615"
"18","M82T450","M82T468"
"19","M82T103","M82T104"
"20","M82T160","M82T169"
"21","M83T737_1","M83T737_1"
"22","M83T94","M83T99"
"23","M83T737_2","M83T737_2"
"24","M83T353","M83T374"
"25","M84T238","M84T250"
"26","M84T415","M84T440"
"27","M84T569","M84T590"
"28","M85T593","M85T613"
"29","M85T604","M85T618"
"30","M85T125","M85T134"
"31","M85T503","M85T520"
"32","M86T183","M86T191"
"33","M86T127","M86T135"
"34","M86T611_2","M86T633"
"35","M87T503","M87T539"
"36","M87T674","M87T709"
"37","M88T341","M88T356"
"38","M88T122","M88T125"
"39","M88T259","M88T274"
"40","M89T119","M89T126"
"41","M90T118","M90T125"
"42","M90T414","M90T434"
"43","M91T686","M91T691"
"44","M91T559","M91T581"
"45","M91T119","M91T127"
"46","M92T348","M92T360"
"47","M92T131","M92T142"
"48","M93T472","M93T441"
"49","M93T247","M93T266"
"50","M94T333","M94T362"
"51","M94T491","M94T517"
"52","M95T510","M95T518"
"53","M95T437","M95T455"
"54","M95T373","M95T400"
"55","M96T385","M96T398"
"56","M96T292","M96T309"
"57","M102T360","M102T244"
"58","M104T205","M104T95"
"59","M109T318","M109T312"
"60","M110T238","M110T256"
"61","M110T293","M110T308"
"62","M110T97","M110T119"
"63","M111T183","M111T192"
"64","M111T298","M111T309"
"65","M112T118","M112T118"
"66","M112T436","M112T455"
"67","M113T99","M113T105"
"68","M113T512","M113T431"
"69","M114T409","M114T426"
"70","M114T319","M114T335"
"71","M115T238","M115T250"
"72","M115T462","M115T460"
"73","M115T615","M115T632"
"74","M116T111","M116T120"
"75","M118T475","M118T502"
"76","M118T363","M118T340"
"77","M118T142","M118T159"
"78","M119T373","M119T440"
"79","M119T504","M119T531"
"80","M120T357","M120T422"
"81","M121T357_1","M121T376"
"82","M121T284","M121T290"
"83","M121T357_2","M121T415"
"84","M122T112","M122T93"
"85","M122T320","M122T313"
"86","M123T336","M123T336"
"87","M123T415","M123T446"
"88","M124T796_1","M124T792_1"
"89","M124T796_2","M124T792_2"
"90","M124T334","M124T306"
"91","M125T111","M125T106"
"92","M125T491_2","M125T516"
"93","M125T291","M125T307"
"94","M126T368","M126T391"
"95","M126T98","M126T105"
"96","M126T229","M126T307"
"97","M127T286","M127T284"
"98","M127T382","M127T402"
"99","M127T507","M127T527"
"100","M128T123","M128T116"
"101","M128T512","M128T544"
"102","M129T521","M129T541"
"103","M130T500","M130T527"
"104","M130T127","M130T143"
"105","M131T375","M131T395"
"106","M131T493","M131T522"
"107","M131T259","M131T283"
"108","M132T395","M132T399"
"109","M132T315","M132T310"
"110","M132T188","M132T198"
"111","M132T527","M132T524"
"112","M133T538","M133T542"
"113","M133T298","M133T312"
"114","M134T138","M134T210"
"115","M134T288","M134T327"
"116","M134T400","M134T424"
"117","M135T108","M135T99"
"118","M135T204","M135T225"
"119","M135T281","M135T306"
"120","M136T131","M136T143"
"121","M137T365","M137T385"
"122","M137T135","M137T219"
"123","M137T256","M137T292"
"124","M137T453","M137T454"
"125","M138T389","M138T409"
"126","M139T372","M139T407"
"127","M139T218","M139T304"
"128","M139T634","M139T631"
"129","M139T554","M139T537"
"130","M140T389","M140T410"
"131","M140T512","M140T521"
"132","M141T241","M141T265"
"133","M141T719","M141T721"
"134","M141T614","M141T586"
"135","M142T556","M142T574"
"136","M142T494","M142T520"
"137","M143T347","M143T366"
"138","M143T516","M143T549"
"139","M144T334","M144T351"
"140","M144T362","M144T382"
"141","M144T282","M144T295"
"142","M144T225","M144T227"
"143","M144T108","M144T116"
"144","M144T440","M144T457"
"145","M145T289","M145T304"
"146","M145T111","M145T120"
"147","M145T606","M145T637"
"148","M146T270","M146T286"
"149","M146T384","M146T402"
"150","M146T108","M146T99"
"151","M146T181","M146T192"
"152","M147T239","M147T270"
"153","M147T101","M147T123"
"154","M147T555","M147T540"
"155","M148T291","M148T304"
"156","M149T138","M149T155"
"157","M149T319","M149T307"
"158","M149T534","M149T558"
"159","M150T450","M150T467"
"160","M150T109","M150T97"
"161","M150T222","M150T309"
"162","M151T409","M151T334"
"163","M151T687","M151T705"
"164","M152T397","M152T398"
"165","M152T569","M152T522"
"166","M152T137","M152T102"
"167","M152T299","M152T321"
"168","M153T100","M153T97"
"169","M153T396","M153T418"
"170","M153T579","M153T598"
"171","M154T315","M154T319"
"172","M154T659","M154T668"
"173","M154T578","M154T588"
"174","M154T461","M154T510"
"175","M155T95","M155T105"
"176","M155T291","M155T309"
"177","M155T381","M155T407"
"178","M156T360","M156T326"
"179","M156T668","M156T676"
"180","M156T221","M156T254"
"181","M157T641","M157T652"
"182","M158T485","M158T512"
"183","M158T122","M158T120"
"184","M159T330","M159T342"
"185","M159T531","M159T559"
"186","M159T386","M159T404"
"187","M159T442","M159T466"
"188","M159T643","M159T676"
"189","M160T174","M160T255"
"190","M160T395","M160T422"
"191","M161T1015","M161T1006"
"192","M161T1133","M161T1140"
"193","M161T443","M161T552"
"194","M162T311","M162T293"
"195","M163T465","M163T505"
"196","M164T479","M164T517"
"197","M164T124","M164T97"
"198","M164T291","M164T304"
"199","M165T282","M165T301"
"200","M165T485","M165T512"
"201","M166T282","M166T300"
"202","M166T607","M166T624"
"203","M167T641","M167T655"
"204","M167T446","M167T493"
"205","M167T109_2","M167T227"
"206","M168T207","M168T199"
"207","M169T115","M169T118"
"208","M169T326","M169T328"
"209","M169T667","M169T678"
"210","M169T491","M169T534"
"211","M169T421","M169T445"
"212","M170T461","M170T451"
"213","M170T295","M170T307"
"214","M170T136","M170T145"
"215","M171T995","M171T1001"
"216","M171T109","M171T153"
"217","M171T386","M171T422"
"218","M172T198","M172T207"
"219","M172T488","M172T513"
"220","M172T372","M172T393"
"221","M173T142","M173T106"
"222","M174T516","M174T541"
"223","M174T436","M174T458"
"224","M175T322","M175T321"
"225","M175T132","M175T117"
"226","M175T427","M175T443"
"227","M175T535","M175T620"
"228","M177T310","M177T330"
"229","M177T119","M177T102"
"230","M177T237","M177T251"
"231","M178T239","M178T255"
"232","M178T165","M178T175"
"233","M178T400_2","M178T413"
"234","M179T392","M179T410"
"235","M179T241","M179T330"
"236","M179T524","M179T550"
"237","M180T131","M180T153"
"238","M180T703","M180T707"
"239","M180T373","M180T392"
"240","M180T247","M180T270"
"241","M181T1128","M181T1085"
"242","M181T357_2","M181T318"
"243","M181T437","M181T408"
"244","M181T228","M181T152"
"245","M181T494","M181T519"
"246","M182T107","M182T97"
"247","M183T389","M183T391"
"248","M184T223","M184T244"
"249","M184T354","M184T391"
"250","M185T353","M185T342"
"251","M186T285","M186T297"
"252","M186T200","M186T211"
"253","M187T325","M187T360"
"254","M188T201","M188T124"
"255","M189T451","M189T545"
"256","M189T592","M189T610"
"257","M189T204","M189T101"
"258","M190T450","M190T465"
"259","M190T370","M190T389"
"260","M191T293","M191T309"
"261","M191T437","M191T456"
"262","M191T539","M191T547"
"263","M192T371","M192T383"
"264","M192T468","M192T490"
"265","M193T167","M193T171"
"266","M193T616","M193T637"
"267","M193T514","M193T535"
"268","M194T348","M194T263"
"269","M194T454","M194T456"
"270","M194T590","M194T530"
"271","M195T189","M195T199"
"272","M195T536","M195T560"
"273","M195T647","M195T672"
"274","M195T771","M195T729"
"275","M195T106","M195T100"
"276","M195T564","M195T587"
"277","M196T109","M196T100"
"278","M196T314","M196T308"
"279","M196T516","M196T541"
"280","M197T579","M197T599"
"281","M197T108","M197T116"
"282","M197T321","M197T330"
