mz-peak	PIUMet-ID	Metabolite-Name	HMDB-ID	origin	super-class	Cellular-location	monisotopic-moleculate-weight	Chemical-formula
m/z=92.0696406564	met69136	Toluene	HMDB0034168	Food|Toxin	Benzenoids	Membrane	92.06260026	C7H8
m/z=94.0853915982	met53532	2-Methyl-1,3-cyclohexadiene	HMDB0032395	Endogenous|Food	Hydrocarbons	Membrane	94.07825032	C7H10
m/z=94.0853915982	met30368	1-Methyl-1,3-cyclohexadiene	HMDB0031532	Endogenous|Food	Hydrocarbons	Membrane	94.07825032	C7H10
m/z=95.0442797724	met70235	2-Hydroxypyridine	HMDB0013751	Endogenous	Organic compounds	NULL	95.03711379	C5H5NO
m/z=95.0442797724	met7795	1H-Pyrrole-2-carboxaldehyde	HMDB0036057	Food	Organic compounds	Cytoplasm|Extracellular	95.03711379	C5H5NO
m/z=103.106999699	met65489	Neurine	HMDB0031259	Endogenous|Food	Alkaloids and derivatives	Cytoplasm|Extracellular	103.09971404	C5H13NO
m/z=103.106999699	met62289	Diethylenetriamine	HMDB0031413	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular	103.11094743	C4H13N3
m/z=104.069969542	met64718	1-Pentanethiol	HMDB0032457	Endogenous|Food	Organosulfur compounds	Membrane	104.06597107	C5H12S
m/z=104.069969542	met6368	(±)-2-Pentanethiol	HMDB0041010	Food	Organic compounds	Membrane	104.06597107	C5H12S
m/z=104.069969542	met9136	Styrene	HMDB0034240	Food	Organic compounds	Membrane	104.06260026	C8H8
m/z=104.069969542	met28739	3-Methyl-2-butanethiol	HMDB0036180	Food	Organosulfur compounds	Membrane	104.06597107	C5H12S
m/z=104.069969542	met66138	Isopentyl mercaptan	HMDB0033902	Food	Organic compounds	Membrane	104.06597107	C5H12S
m/z=104.069969542	met11898	2-Methyl-1-butanethiol	HMDB0035418	Food	Organic compounds	Membrane	104.06597107	C5H12S
m/z=105.049630457	met2161	N-Nitroethylenediamine	HMDB0031226	Endogenous|Food	Organic 1,3-dipolar compounds	Cytoplasm|Extracellular	105.05382648	C2H7N3O2
m/z=105.049630457	met46842	L-Serine	HMDB0000187	Endogenous	Organic acids and derivatives	Cytoplasm|Extracellular|Mitochondria|Peroxisome	105.0425931	C3H7NO3
m/z=105.049630457	met37658	D-Serine	HMDB0003406	Endogenous	Organic compounds	Extracellular	105.0425931	C3H7NO3
m/z=118.049157125	met25250	S-Propyl thioacetate	HMDB0033856	Food	Organic compounds	Cytoplasm|Extracellular	118.04523563	C5H10OS
m/z=118.049157125	met11546	2,4,6-Octatriyn-1-ol	HMDB0030968	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular|Membrane	118.04186481	C8H6O
m/z=118.049157125	met11541	Tetrahydro-2-methylthiophen-3-ol	HMDB0035244	Food	Organooxygen compounds	Cytoplasm|Extracellular	118.04523563	C5H10OS
m/z=118.049157125	met31722	4-(Methylthio)butanal	HMDB0037474	Food	Organooxygen compounds	Cytoplasm|Extracellular	118.04523563	C5H10OS
m/z=118.049157125	met7375	xi-2,3-Octadiene-5,7-diyn-1-ol	HMDB0040549	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular|Membrane	118.04186481	C8H6O
m/z=118.049157125	met63395	3-Mercapto-2-pentanone	HMDB0034896	Food	Organic oxygen compounds	Cytoplasm|Extracellular	118.04523563	C5H10OS
m/z=118.049157125	met26942	2-Mercapto-3-pentanone	HMDB0035171	Food	Organic compounds	Cytoplasm|Extracellular	118.04523563	C5H10OS
m/z=118.049157125	met39423	4-(Methylthio)-2-butanone	HMDB0031316	Endogenous|Food	Organooxygen compounds	Cytoplasm|Extracellular	118.04523563	C5H10OS
m/z=118.049157125	met53971	7-Azaindolizine	HMDB0033576	Food	Organic compounds	Cytoplasm|Extracellular	118.0530982	C7H6N2
m/z=118.049157125	met74113	3-(Methylthio)-2-butanone	HMDB0041558	Food	Organic oxygen compounds	Cytoplasm|Extracellular	118.04523563	C5H10OS
m/z=118.049157125	met26133	xi-2-Methyl-1,3-oxathiane	HMDB0039826	Food	Organic compounds	Cytoplasm|Extracellular	118.04523563	C5H10OS
m/z=118.049157125	met50669	4-Mercapto-2-pentanone	HMDB0032376	Endogenous|Food	Organic oxygen compounds	Cytoplasm|Extracellular	118.04523563	C5H10OS
m/z=118.049157125	met21252	Benzofuran	HMDB0032929	Drug|Food	Organoheterocyclic compounds	Membrane	118.04186481	C8H6O
m/z=118.049157125	met68689	3-(Methylthio)butanal	HMDB0041491	Food	Organooxygen compounds	Cytoplasm|Extracellular	118.04523563	C5H10OS
m/z=118.049157125	met54191	5H-Cyclopentapyrazine	HMDB0040040	Food	Organoheterocyclic compounds	Cytoplasm|Extracellular	118.0530982	C7H6N2
m/z=118.049157125	met18024	1-(Methylthio)-2-butanone	HMDB0037193	Food	Organic compounds	Cytoplasm|Extracellular	118.04523563	C5H10OS
m/z=118.049157125	met55800	Tetrahydro-2-methyl-3-furanthiol	HMDB0036138	Food	Organoheterocyclic compounds	Extracellular|Cytoplasm	118.04523563	C5H10OS
m/z=118.049157125	met11310	3,5,7-Octatriyn-1-ol	HMDB0038998	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular|Membrane	118.04186481	C8H6O
m/z=118.049157125	met69148	S-Methyl butanethioate	HMDB0031191	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular	118.04523563	C5H10OS
m/z=118.085289005	met15295	Diisopropyl sulfide	HMDB0029579	Endogenous|Food	Organosulfur compounds	Membrane	118.08162114	C6H14S
m/z=118.085289005	met50866	Dipropyl sulfide	HMDB0031431	Endogenous|Food	Organosulfur compounds	Membrane	118.08162114	C6H14S
m/z=118.085289005	met45105	1-Hexanethiol	HMDB0039806	Food	Organosulfur compounds	Membrane	118.08162114	C6H14S
m/z=120.100973024	met1817	1,2,4-Tris(methylene)cyclohexane	HMDB0040458	Food	Organic compounds	Membrane	120.09390038	C9H12
m/z=120.100973024	met39473	Isopropylbenzene	HMDB0034029	Food	Organic compounds	Membrane	120.09390038	C9H12
m/z=120.100973024	met46239	1,2,4-Trimethylbenzene	HMDB0013733	Endogenous	Benzenoids	Membrane (predicted from logP)	120.09390038	C9H12
m/z=122.007445268	met32040	3-Mercaptolactic acid	HMDB0002127	Endogenous	Organic compounds	Cytoplasm	122.00376475	C3H6O3S
m/z=122.116608941	met49444	Santene	HMDB0038140	Food	Hydrocarbons	Membrane	122.10955045	C9H14
m/z=125.054912094	met13262	2-O-Methylcytosine	HMDB0004339	Endogenous	Organic compounds	NULL	125.05891186	C5H7N3O
m/z=125.054912094	met48333	5-Methylcytosine	HMDB0002894	Endogenous	Organic compounds	Cytoplasm (predicted from logP)	125.05891186	C5H7N3O
m/z=125.054912094	met37661	3-Methylcytosine 	HMDB0011601	Endogenous	Organic compounds	NULL	125.05891186	C5H7N3O
m/z=134.116706865	met15923	p-Mentha-1,3,8-triene	HMDB0037013	Endogenous|Food	Organic compounds	Extracellular|Membrane	134.10955045	C10H14
m/z=134.116706865	met44923	1-Isopropyl-3-methylbenzene	HMDB0037051	Food	Benzenoids	Membrane	134.10955045	C10H14
m/z=134.116706865	met13372	1-Methyl-2-propylbenzene	HMDB0032627	Endogenous|Food	Benzenoids	Membrane	134.10955045	C10H14
m/z=134.116706865	met57699	1-Isopropyl-2-methylbenzene	HMDB0037050	Food	Organic compounds	Membrane	134.10955045	C10H14
m/z=137.054934482	met12524	3-Pyridylacetic acid	HMDB0001538	Endogenous	Organic compounds	NULL	137.04767847	C7H7NO2
m/z=137.054934482	met9360	Trigonelline	HMDB0000875	Endogenous|Food	Organic compounds	Cytoplasm	137.04767847	C7H7NO2
m/z=137.054934482	met65339	p-Aminobenzoic acid	HMDB0001392	Endogenous|Microbial	Benzenoids	NULL	137.04767847	C7H7NO2
m/z=137.054934482	met74216	Methyl nicotinate	HMDB0029806	Endogenous|Food	Organoheterocyclic compounds	Cytoplasm|Extracellular	137.04767847	C7H7NO2
m/z=143.065516488	met31230	Quinaldine	HMDB0042004	Drug|Food	Organic compounds	Membrane (predicted from logP)	143.07349929	C10H9N
m/z=143.065516488	met38007	Vinylacetylglycine	HMDB0000894	Endogenous	Organic compounds	NULL	143.05824316	C6H9NO3
m/z=143.065516488	met366	6-Methylquinoline	HMDB0033115	Food	Organic compounds	Membrane	143.07349929	C10H9N
m/z=143.065516488	met41873	Acrylamide-acrylic acid resin	HMDB0032161	Endogenous|Food	Organic acids and derivatives	NULL	143.05824316	C6H9NO3
m/z=146.116746275	met56544	Dibutyl sulfide	HMDB0031660	Endogenous|Food	Organosulfur compounds	Membrane	146.11292127	C8H18S
m/z=146.116746275	met64711	Acetylcholine 	HMDB0000895	Endogenous	Organic nitrogen compounds	Cytoplasm|Extracellular|Nucleus	146.11810376	C7H16NO2
m/z=146.116746275	met23203	2-Ethyl-1-hexanethiol	HMDB0041477	Food	Organic compounds	Membrane	146.11292127	C8H18S
m/z=146.116746275	met64639	4-Trimethylammoniobutanoic acid	HMDB0001161	Drug metabolite|Endogenous|Food	Lipids and lipid-like molecules	Cytoplasm|Extracellular|Membrane	146.11810376	C7H16NO2
m/z=146.116746275	met41014	1-Nitroheptane	HMDB0013811	Endogenous	Organic compounds	NULL	146.11810376	C7H16NO2
m/z=154.033814345	met21843	3,5-Dihydroxybenzoic acid	HMDB0013677	Endogenous	Organic compounds	NULL	154.02660867	C7H6O4
m/z=154.033814345	met28823	2,4-Dihydroxybenzoic acid	HMDB0029666	Endogenous|Food	Benzenoids	Cytoplasm|Extracellular	154.02660867	C7H6O4
m/z=154.033814345	met19329	Gentisic acid	HMDB0000152	Endogenous	Benzenoids	Cytoplasm	154.02660867	C7H6O4
m/z=154.033814345	met6604	2,6-Dihydroxybenzoic acid	HMDB0013676	Endogenous	Benzenoids	Membrane (predicted from logP)	154.02660867	C7H6O4
m/z=154.033814345	met38616	2-Pyrocatechuic acid	HMDB0000397	Endogenous	Benzenoids	NULL	154.02660867	C7H6O4
m/z=154.033814345	met47075	Diethylphosphate	HMDB0012209	Endogenous	Organic compounds	NULL	154.03949535	C4H11O4P
m/z=154.033814345	met12690	1-Phenyl-2,4-pentadiyn-1-one	HMDB0032945	Food	Organic compounds	Cytoplasm|Extracellular	154.04186481	C11H6O
m/z=154.033814345	met64580	Protocatechuic acid	HMDB0001856	Food	Benzenoids	NULL	154.02660867	C7H6O4
m/z=154.033814345	met21496	Patulin	HMDB0034299	Food|Toxin	Organic compounds	Cytoplasm|Extracellular	154.02660868	C7H6O4
m/z=158.028722644	met9529	2-Methylene-4-oxopentanedioic acid	HMDB0037759	Food	Organic compounds	Cytoplasm|Extracellular	158.0215233	C6H6O5
m/z=158.028722644	met74508	Zymonic acid	HMDB0031210	Endogenous|Food	Organoheterocyclic compounds	Cytoplasm|Extracellular	158.0215233	C6H6O5
m/z=158.028722644	met12098	L-Dihydroorotic acid	HMDB0003349	Endogenous	Organic compounds	Cytoplasm (predicted from logP)	158.03275669	C5H6N2O4
