mz-peak	PIUMet-ID	Metabolite-Name	HMDB-ID	origin	super-class	Cellular-location	monisotopic-moleculate-weight	Chemical-formula
m/z=69.0650046591	met12791	1-Pyrroline	HMDB0012497	Endogenous	Organic compounds	NULL	69.05784923	C4H7N
m/z=92.0696406564	met69136	Toluene	HMDB0034168	Food|Toxin	Benzenoids	Membrane	92.06260026	C7H8
m/z=94.0126069617	met46690	2-Chloro-1-propanol	HMDB0031335	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular	94.01854255	C3H7ClO
m/z=94.0126069617	met39739	Dimethyl sulfone	HMDB0004983	Drug metabolite|Endogenous|Microbial	Organosulfur compounds	Cytoplasm	94.00885013	C2H6O2S
m/z=94.0853915982	met53532	2-Methyl-1,3-cyclohexadiene	HMDB0032395	Endogenous|Food	Hydrocarbons	Membrane	94.07825032	C7H10
m/z=94.0853915982	met30368	1-Methyl-1,3-cyclohexadiene	HMDB0031532	Endogenous|Food	Hydrocarbons	Membrane	94.07825032	C7H10
m/z=95.0442797724	met70235	2-Hydroxypyridine	HMDB0013751	Endogenous	Organic compounds	NULL	95.03711379	C5H5NO
m/z=95.0442797724	met7795	1H-Pyrrole-2-carboxaldehyde	HMDB0036057	Food	Organic compounds	Cytoplasm|Extracellular	95.03711379	C5H5NO
m/z=96.0475574024	met67672	2,4-Dimethylfuran	HMDB0032965	Food	Organoheterocyclic compounds	Cytoplasm|Extracellular	96.05751488	C6H8O
m/z=96.0475574024	met17490	3-Methyl-2-cyclopenten-1-one	HMDB0031546	Endogenous|Food	Organooxygen compounds	Cytoplasm|Extracellular	96.05751488	C6H8O
m/z=96.0475574024	met62978	2-Methyl-2-cyclopenten-1-one	HMDB0031545	Endogenous|Food	Organooxygen compounds	Cytoplasm|Extracellular	96.05751488	C6H8O
m/z=96.0475574024	met31445	(E,E)-2,4-Hexadienal	HMDB0034729	Food	Organic compounds	Cytoplasm|Extracellular	96.05751488	C6H8O
m/z=96.0475574024	met34982	3-Ethylfuran	HMDB0040588	Food	Organoheterocyclic compounds	Membrane	96.05751488	C6H8O
m/z=96.0475574024	met11681	2-Ethylfuran	HMDB0040587	Food	Organoheterocyclic compounds	Cytoplasm|Extracellular	96.05751488	C6H8O
m/z=96.0475574024	met23124	2,5-Dimethylfuran	HMDB0033182	Food	Organoheterocyclic compounds	Cytoplasm|Extracellular	96.05751488	C6H8O
m/z=97.0600329662	met55	2,4-Dimethyloxazole	HMDB0032968	Food	Organic compounds	Cytoplasm|Extracellular	97.05276385	C5H7NO
m/z=97.0600329662	met16225	4,5-Dimethyloxazole	HMDB0032970	Food	Organoheterocyclic compounds	Cytoplasm|Extracellular	97.05276385	C5H7NO
