m/z=167.065482999	Pyridoxal
m/z=318.189946675	Ubiquinone-2
Androstanedione	m/z=288.215793368
Androstanedione	HSD3B2
LysoPE(0:0/18:3(6Z,9Z,12Z))	m/z=475.271746378
LysoPE(0:0/18:3(6Z,9Z,12Z))	ENPP2
LysoPE(0:0/18:3(6Z,9Z,12Z))	m/z=475.271616072
m/z=334.257551504	Tetrahydrodeoxycorticosterone
B2M	3-Indolebutyric acid
B2M	HLA-B
LysoPE(0:0/18:1(9Z))	ENPP2
LysoPE(0:0/18:1(9Z))	m/z=479.303332939
m/z=350.252573826	Tetrahydrocorticosterone
4,8-DimethylnoNULLoyl-CoA	CRAT
4,8-DimethylnoNULLoyl-CoA	CROT
3-Mercaptolactic acid	m/z=122.007584387
3-Mercaptolactic acid	m/z=122.007445268
3-Mercaptolactic acid	LDHAL6B
3-Mercaptolactic acid	LDHAL6A
3-Mercaptolactic acid	LDHA
3-Mercaptolactic acid	LDHB
ASS1	Citrulline
ASS1	Canavaninosuccinate
16a-Hydroxydehydroisoandrosterone	m/z=304.210567131
16a-Hydroxydehydroisoandrosterone	HSD3B2
Sulfolithocholic acid	SLCO1B1
Sulfolithocholic acid	m/z=456.257515361
Sulfolithocholic acid	m/z=456.25762553
m/z=288.179048139	2-Hydroxyestradiol
m/z=252.11798078	3-Hydroxyhexobarbital
6beta-Hydroxytestosterone	m/z=304.210567131
6beta-Hydroxytestosterone	m/z=304.210605798
6beta-Hydroxytestosterone	m/z=304.210656721
6beta-Hydroxytestosterone	CYP3A7
6beta-Hydroxytestosterone	m/z=304.210642582
m/z=674.244170087	(N-acetylneuraminosyl(a2-6)lactosamine)
3a-Hydroxy-5b-pregNULLe-20-one	AKR1C4
3a-Hydroxy-5b-pregNULLe-20-one	m/z=318.262618276
3a-Hydroxy-5b-pregNULLe-20-one	m/z=318.26271691
3a-Hydroxy-5b-pregNULLe-20-one	m/z=318.262671817
3a-Hydroxy-5b-pregNULLe-20-one	m/z=318.262750858
Acetoacetic acid	FAH
Acetoacetic acid	SLC16A7
4a-Carbinolamine tetrahydrobiopterin	m/z=239.102006322
4a-Carbinolamine tetrahydrobiopterin	PCBD1
Tryptamine	DDC
Tryptamine	MAOB
Tryptamine	MAOA
m/z=464.211488022	Estriol-3-glucuronide
m/z=464.211488022	16-alpha,17-beta-estriol 17-beta-D-glucuronide
11-Oxo-androsterone glucuronide	m/z=480.228280001
11-Oxo-androsterone glucuronide	m/z=480.242096198
11-Oxo-androsterone glucuronide	m/z=480.228353456
11-Oxo-androsterone glucuronide	m/z=480.242472339
11-Oxo-androsterone glucuronide	m/z=480.225948522
11-Oxo-androsterone glucuronide	m/z=480.228177157
11-Oxo-androsterone glucuronide	UGT2B28
FXR2	CEP44
FXR2	PCBD1
SULT1E1	Estrone
SULT1E1	Dehydroandrosterone
m/z=314.231480148	Progesterone
Dopaquinone	TYR
Dopaquinone	m/z=195.060323284
D-Serine	SLC3A2
D-Serine	m/z=105.049630457
m/z=334.257506695	Tetrahydrodeoxycorticosterone
Gentisic acid	m/z=154.033814345
Gentisic acid	AOX1
m/z=161.112303738	L-Carnitine
BBOX1	4-Trimethylammoniobutanoic acid
BBOX1	L-Carnitine
m/z=272.185047928	Estradiol
Pregnenolone	m/z=316.247194465
Pregnenolone	CYP17A1
Pregnenolone	SULT1A3
Pregnenolone	HSD3B2
Pregnenolone	m/z=316.247050129
4a-Hydroxytetrahydrobiopterin	PCBD1
4a-Hydroxytetrahydrobiopterin	TH
m/z=350.252505398	MG(0:0/18:4(6Z,9Z,12Z,15Z)/0:0)
m/z=350.252505398	Tetrahydrocorticosterone
Dehydroascorbic acid	MOXD1
Dehydroascorbic acid	SLC2A1
Propionylcarnitine	CRAT
Propionylcarnitine	m/z=217.138582045
Acetylcholine 	ACHE
Acetylcholine 	m/z=146.116746275
m/z=157.068222979	3-Methylcrotonylglycine
m/z=157.068222979	Tiglylglycine
m/z=304.210605798	7a-Hydroxydehydroepiandrosterone
Epiandrosterone	m/z=290.231335156
Epiandrosterone	HSD3B2
Epiandrosterone	m/z=290.231244193
5-Hydroxytryptophol	m/z=177.086310328
5-Hydroxytryptophol	ADHFE1
m/z=334.257419788	Tetrahydrodeoxycorticosterone
N-Acetyl-leukotriene E4	m/z=481.246174235
N-Acetyl-leukotriene E4	NAA10
m/z=478.213056085	4-Hydroxyandrostenedione glucuronide
m/z=302.19510362	16a-Hydroxyandrost-4-ene-3,17-dione
Dihydrofolic acid	TYMS
Dihydrofolic acid	FPGS
3-Indolebutyric acid	m/z=203.086582073
PAFAH2	LysoPC(0:0/18:0)
PAFAH2	LysoPC(18:2(9Z,12Z))
Testosterone glucuronide	UGT2B28
Testosterone glucuronide	m/z=464.247738173
m/z=477.287452705	LysoPE(0:0/18:2(9Z,12Z))
m/z=332.241819012	3a,7a-Dihydroxy-5b-cholestanate
m/z=332.241819012	17a-Hydroxypregnenolone
m/z=332.241819012	17-alpha,20-alpha-Dihydroxypregn-4-en-3-one
m/z=464.211302268	Estriol-3-glucuronide
17a,21-Dihydroxy-5b-pregNULLe-3,11,20-trione	AKR1C4
17a,21-Dihydroxy-5b-pregNULLe-3,11,20-trione	m/z=362.215943258
GLYATL3	Methyl hippurate
GLYATL3	3-Methylcrotonylglycine
GLYATL3	Tiglylglycine
GLYATL3	Glycoursodeoxycholic acid
GLYATL3	Vinylacetylglycine
GLYATL3	N-[(3a,5b,7a,12a)-3,7-dihydroxy-24-oxo-12-(sulfooxy)cholan-24-yl]-Glycine
GLYATL3	3-Hydroxyhippuric acid
GLYATL3	Phenylacetylglycine
GLYATL3	Salicyluric acid
Tetrahydrocortisol	AKR1C4
Tetrahydrocortisol	m/z=366.247479885
Orotic acid	DHODH
Orotic acid	UMPS
CROT	Butyrylcarnitine
CROT	L-Octanoylcarnitine
Glucosamine	SLC2A1
Glucosamine	m/z=179.087958658
PRKCSH	GBA3
PRKCSH	VDR
21-Hydroxypregnenolone	m/z=332.241919022
21-Hydroxypregnenolone	m/z=332.242112438
BLVRA	4E,15Z-Bilirubin IXa
BLVRA	Biliverdin
BLVRA	LNX1
m/z=119.985390021	3-Mercaptopyruvic acid
Canavaninosuccinate	m/z=292.105555283
11-Hydroxyprogesterone 11-glucuronide	m/z=506.258262411
11-Hydroxyprogesterone 11-glucuronide	UGT2B28
11-Hydroxyprogesterone 11-glucuronide	m/z=506.244094001
Androstenedione	m/z=286.200287392
Androstenedione	HSD3B2
m/z=250.112804705	Ubiquinone-1
Phenylacetaldehyde	MAOB
Phenylacetaldehyde	m/z=120.06472017
Methyl hippurate	m/z=193.065977946
CEP44	NAA10
Cortexolone	CYP21A2
Cortexolone	CYP11B1
Cortexolone	m/z=346.221258514
SULT1A3	xi-Norepinephrine
SULT1A3	Estrone
SULT1A3	Tyramine
SULT1A3	Dehydroandrosterone
m/z=143.065516488	Vinylacetylglycine
ALDH9A1	HLA-B
ALDH9A1	3a,7a-Dihydroxy-5b-cholestanate
ALDH9A1	4-Trimethylammoniobutanoic acid
m/z=344.191475411	11-Dehydrocorticosterone
m/z=314.231405548	Progesterone
SRPK1	ADI1
SRPK1	MAOB
Biliverdin	m/z=582.241701051
Carbamoyl phosphate	OTC
Carbamoyl phosphate	CAD
Lotaustralin	m/z=261.128282948
Lotaustralin	GBA3
D-Xylono-1,5-lactone	m/z=148.043268781
D-Xylono-1,5-lactone	m/z=148.04270109
GSTZ1	S-(PGA2)-glutathione
GSTZ1	4-Fumarylacetoacetic acid
GSTZ1	S-(9-deoxy-delta9,12-PGD2)-glutathione
m/z=462.217892074	6-Dehydrotestosterone glucuronide
UGT2B28	Androsterone glucuronide
UGT2B28	6-Dehydrotestosterone glucuronide
UGT2B28	16-alpha,17-beta-estriol 17-beta-D-glucuronide
UGT2B28	Estriol 3-sulfate 16-glucuronide
UGT2B28	Estriol-3-glucuronide
UGT2B28	5b-Dihydrotestosterone
UGT2B28	Aldosterone 18-glucuronide
