"","mz","polarity","p_value"
"1",74.0600721942424,"positive",1.37686896971959
"2",81.069795355829,"positive",3.92712086787608
"3",84.0443270595528,"positive",2.07370918891581
"4",89.0379441865609,"positive",1.76565535029416
"5",92.0494205032301,"positive",1.46809857821195
"6",94.0412001103698,"positive",1.35194574395918
"7",94.041252077373,"positive",1.36379904835685
"8",95.0853915981942,"positive",5.71639103442343
"9",98.9839891083938,"positive",1.54878727696085
"10",105.069969541621,"positive",2.7225101418295
"11",113.018782352615,"positive",1.40408493013161
"12",114.054772099452,"positive",1.36668031592638
"13",115.054014002239,"positive",2.28057313641296
"14",115.086329912453,"positive",1.84488030209163
"15",116.057237435136,"positive",1.76228900924785
"16",118.064860666425,"positive",2.67450430263544
"17",119.068359395819,"positive",2.6444217573926
"18",120.065398216807,"positive",1.76512976326812
"19",121.039507118741,"positive",1.4544382031923
"20",121.100973023714,"positive",1.76565535029416
"21",122.051192094713,"positive",4.53425827940313
"22",125.059661485602,"positive",2.65776814204751
"23",130.065078403732,"positive",2.39828999762328
"24",132.080806508594,"positive",2.60727793180108
"25",133.084291927285,"positive",1.72515829838309
"26",135.116706865059,"positive",8.40195413621267
"27",138.054934482211,"positive",2.49428948139978
"28",140.059202904385,"positive",1.66367593310948
"29",141.018150601175,"positive",2.70911905392231
"30",142.065142081591,"positive",2.49428948139978
"31",143.072849879685,"positive",3.06668686916488
"32",144.044425978222,"positive",3.05366455776006
"33",144.080718430708,"positive",2.54572228032896
"34",146.059997478977,"positive",2.75319513812395
"35",147.063244692616,"positive",2.43555840081716
"36",149.043268781426,"positive",2.35067107797062
"37",158.060017618759,"positive",2.23276485444922
"38",159.062644376443,"positive",1.50957399017113
"39",159.091639601386,"positive",3.08652785415691
"40",159.116775636267,"positive",1.49628945283614
"41",159.112757238954,"positive",1.77872063284968
"42",160.116140799258,"positive",1.42714432559025
"43",169.097148264013,"positive",1.35020497192534
"44",169.168201310385,"positive",1.58395673408039
"45",170.059897406929,"positive",2.3629259859001
"46",171.076292516403,"positive",2.11420327733376
"47",172.060238583397,"positive",3.08652785415691
"48",175.071190948702,"positive",1.77234971943703
"49",180.978237789802,"positive",1.51412833769744
"50",183.02448691936,"positive",1.36379904835685
"51",186.055884807496,"positive",1.85720636313708
"52",186.076100441217,"positive",2.55454079919774
"53",187.987314672616,"positive",2.29078847372804
"54",188.070541489909,"positive",3.02888542585991
"55",188.074044466722,"positive",2.09361542698542
"56",188.128074894093,"positive",1.31090706731467
"57",188.15357267877,"positive",2.3086839384541
"58",189.073658358638,"positive",3.08652785415691
"59",189.123053221457,"positive",1.58830419509894
"60",189.163656972921,"positive",3.46587385782578
"61",190.049945141528,"positive",1.8351489527376
"62",190.077191891411,"positive",2.09361542698542
"63",191.05297079505,"positive",1.68559098601289
"64",197.07515253269,"positive",1.37686896971959
"65",202.107388401147,"positive",1.40453728313081
"66",203.179286436605,"positive",1.55799589332862
"67",204.086582073384,"positive",4.51010508450862
"68",204.141747272111,"positive",1.37686896971959
"69",205.002017878197,"positive",2.19269371604104
"70",205.096984497668,"positive",3.06668686916488
"71",205.089954800494,"positive",1.65070127464113
"72",205.191912464783,"positive",2.58237764211893
"73",206.090403644318,"positive",1.35020497192534
"74",206.100157458094,"positive",3.08652785415691
"75",206.138714008775,"positive",1.91551333830991
"76",208.060162051793,"positive",1.76884491699978
"77",208.100315322128,"positive",1.67428384163659
"78",211.05999939618,"positive",1.50644800370792
"79",213.004391777582,"positive",1.77872063284968
"80",216.086592029172,"positive",1.83767236951235
"81",217.002062169388,"positive",1.34565825207328
"82",218.121461646489,"positive",1.51367739895379
"83",219.008511809894,"positive",1.57034697401046
"84",219.141933348004,"positive",1.52465634191327
"85",223.048740995371,"positive",1.37686896971959
"86",224.127982688093,"positive",1.3777007356389
"87",225.086844340811,"positive",2.7225101418295
"88",228.195640270879,"positive",1.45679367719919
"89",229.194810663356,"positive",5.60441089525468
"90",235.04860992952,"positive",2.03770751680977
"91",241.074223607052,"positive",2.78812339055776
"92",253.03874567299,"positive",2.35067107797062
"93",253.143483217187,"positive",1.4924035732985
"94",257.226009385445,"positive",2.19335632669642
"95",258.229383781074,"positive",1.83767236951235
"96",261.217056718035,"positive",1.46490223135613
"97",262.981053789278,"positive",2.0362068325655
"98",263.043540720045,"positive",1.37686896971959
"99",268.125582366421,"positive",1.38516576813696
"100",269.128403015806,"positive",1.34285608839186
"101",271.20528391775,"positive",1.50644800370792
"102",271.241635437501,"positive",2.24112471890968
"103",272.208608496923,"positive",1.54878727696085
"104",275.221426223319,"positive",1.48967242876005
"105",277.117787792018,"positive",3.06668686916488
"106",278.121213865968,"positive",2.45799202371276
"107",281.226091410032,"positive",1.45638818792163
"108",282.152047183238,"positive",1.52975434360939
"109",282.229362220118,"positive",3.5838558178365
"110",283.24156595697,"positive",1.50240065430329
"111",283.241696539218,"positive",4.25823175293126
"112",284.061379181917,"positive",1.58686172230029
"113",284.245115093193,"positive",1.66791927527582
"114",285.257295785559,"positive",7.6851180354058
"115",286.260649818257,"positive",9.41840331861051
"116",287.243728373733,"positive",2.89296914112888
"117",287.263819480243,"positive",9.36865702828421
"118",289.150283940733,"positive",1.56993903613158
"119",289.215789194427,"positive",1.7809647353438
"120",292.023712812395,"positive",1.68071635236875
"121",299.236465474598,"positive",4.89469812056943
"122",299.236484086146,"positive",3.15374538737362
"123",300.239883583158,"positive",2.21632520035968
"124",301.252112100148,"positive",7.68344521290274
"125",301.252177203538,"positive",1.37686896971959
"126",302.088510676593,"positive",2.07210568573884
"127",302.255442540575,"positive",3.9623986569403
"128",303.064754574367,"positive",1.36831454463389
"129",303.118286552293,"positive",1.30902784750651
"130",303.267540070594,"positive",8.66811814591801
"131",317.131773896591,"positive",1.76512976326812
"132",317.247044438559,"positive",5.5925233835502
"133",317.247194464672,"positive",3.93096213800823
"134",317.247082073929,"positive",1.75936639820149
"135",318.250494901153,"positive",3.23601576928235
"136",318.250552266267,"positive",2.49232734359709
"137",319.263039014656,"positive",3.25227096544671
"138",319.303119941463,"positive",2.54991715883961
"139",320.305957385551,"positive",1.40408493013161
"140",329.012774100196,"positive",1.44849456642949
"141",331.010649503291,"positive",1.45381444471141
"142",331.226472574197,"positive",2.0841310999179
"143",333.108041308769,"positive",2.46327004956503
"144",333.169128475938,"positive",3.10344114335234
"145",335.257419788354,"positive",1.37686896971959
"146",335.257551504481,"positive",1.58603381363582
"147",335.257506694974,"positive",1.79215702374814
"148",338.967042304104,"positive",1.40408493013161
"149",341.20672160155,"positive",1.49500327705305
"150",343.190176787625,"positive",1.38516576813696
"151",351.157860316025,"positive",3.55234698747813
"152",351.252505397502,"positive",2.11670885965329
"153",352.161358073468,"positive",3.47314072738136
"154",361.20039923532,"positive",1.83908905916413
"155",365.173588312057,"positive",2.07862295867232
"156",366.177011804457,"positive",1.44428267389799
"157",371.100964898345,"positive",1.52465634191327
"158",377.181361873272,"positive",1.99428976566631
"159",378.198746628037,"positive",1.87251516205945
"160",381.226570558863,"positive",1.45679367719919
"161",389.111288436883,"positive",1.34758248312958
"162",395.184681720019,"positive",2.47246212034376
"163",410.189855016016,"positive",1.83767236951235
"164",417.335731084665,"positive",1.66134162051705
"165",423.676899383259,"positive",2.11573313979464
"166",427.703992391851,"positive",1.38516576813696
"167",430.193533857172,"positive",2.53434672060959
"168",433.257291275497,"positive",1.83908905916413
"169",439.12046065765,"positive",1.30749973825475
"170",448.232196028418,"positive",1.45638818792163
"171",457.452524487827,"positive",3.47314072738136
"172",457.703217043376,"positive",3.56844390851921
"173",457.953854996746,"positive",2.77281021446436
"174",458.261014584055,"positive",1.65070127464113
"175",461.289086088028,"positive",9.41840331861051
"176",462.292435240229,"positive",8.01347181039262
"177",465.211488022132,"positive",2.31397674055039
"178",471.707932534463,"positive",4.88894302605288
"179",471.958538332349,"positive",4.88894302605288
"180",472.209141901668,"positive",4.39037222977684
"181",472.459775575905,"positive",3.08652785415691
"182",472.710423776804,"positive",2.83704316867883
"183",476.27161607239,"positive",1.39262509919416
"184",477.284184222713,"positive",5.83438707203241
"185",478.287496375489,"positive",3.9623986569403
"186",479.300100972477,"positive",1.36831454463389
"187",482.238035752941,"positive",8.74817902548638
"188",482.237983173314,"positive",1.57034697401046
"189",483.241457835733,"positive",4.20283260747908
"190",483.241332233956,"positive",3.44677522778843
"191",484.26657536724,"positive",2.08492597684999
"192",487.193248630795,"positive",2.55249197603052
"193",495.222008481538,"positive",4.89172235772386
"194",503.241414612434,"positive",1.99428976566631
"195",507.258517182574,"positive",2.07862295867232
"196",510.277365920955,"positive",1.52465634191327
"197",511.2895846266,"positive",3.30886217149265
"198",512.321304438928,"positive",5.92782689752229
"199",513.324564005399,"positive",1.83521082158525
"200",514.336892170386,"positive",10.9331735952165
"201",515.34025337763,"positive",10.6230005249637
"202",516.342952717819,"positive",7.47362904146795
"203",517.276596374926,"positive",6.67103481587461
"204",518.279926334671,"positive",1.4867034185791
"205",519.292210533107,"positive",9.54577138066301
"206",520.295525932806,"positive",10.9331735952165
"207",521.298224191282,"positive",8.60837040064906
"208",523.253257264565,"positive",1.70734355619586
"209",523.253304414821,"positive",1.45917680131503
"210",524.357594360295,"positive",1.47225152303272
"211",525.243778006728,"positive",1.47225152303272
"212",525.244264124168,"positive",2.0440164716997
"213",528.316102829825,"positive",4.20475414367862
"214",528.316125543224,"positive",2.31144177033982
"215",530.332195688745,"positive",2.39730042139576
"216",532.259017556322,"positive",1.97246213663351
"217",533.219542062683,"positive",1.97306618829818
"218",533.271453028943,"positive",3.25754945070214
"219",533.271444913961,"positive",3.55234698747813
"220",533.271714783367,"positive",1.67508574370613
"221",534.274902011551,"positive",1.45554915774012
"222",535.265931069919,"positive",3.43521945751214
"223",535.287267407938,"positive",5.15270602264284
"224",536.269281130012,"positive",2.21632520035968
"225",536.290468663202,"positive",4.39037222977684
"226",537.293116293446,"positive",2.7225101418295
"227",557.268918519135,"positive",1.77760770251733
"228",557.342930271434,"positive",4.78849859573634
"229",558.345418660263,"positive",3.34718988091854
"230",560.305546372762,"positive",1.52465634191327
"231",563.179173343044,"positive",2.735780340631
"232",563.179263808791,"positive",2.13934283244064
"233",564.182586978571,"positive",2.49428948139978
"234",571.321960653675,"positive",1.99428976566631
"235",578.269851337066,"positive",1.7096275539263
"236",579.300083802586,"positive",1.58603381363582
"237",581.262287390559,"positive",1.58432162093592
"238",593.367554532807,"positive",1.993201480811
"239",595.277810857046,"positive",3.95696534083633
"240",596.281313043492,"positive",3.14370319948705
"241",605.769433825039,"positive",1.768369869087
"242",609.257176931248,"positive",1.97306618829818
"243",628.941965919712,"positive",1.47981919643172
"244",633.402499046953,"positive",1.9170173945609
"245",694.649608882024,"positive",1.31090706731467
"246",700.388996104777,"positive",8.66811814591801
"247",701.392244971352,"positive",8.27472616280282
"248",722.370667242679,"positive",1.66003776256942
"249",85.0238300966555,"negative",1.37686896971959
"250",106.028391265139,"negative",1.48477079398064
"251",115.076261478091,"negative",1.90695194715469
"252",116.071496900118,"negative",1.99428976566631
"253",127.076323736471,"negative",1.67092616269292
"254",157.050482299832,"negative",1.32806332381354
"255",159.066220524962,"negative",1.45917680131503
"256",160.040167561236,"negative",2.03850149022312
"257",174.087998027572,"negative",1.45917680131503
"258",175.097268980211,"negative",1.47614177390226
"259",176.986245066248,"negative",1.67514301187556
"260",177.022449468358,"negative",1.37686896971959
"261",180.028486874537,"negative",1.35829559855843
"262",181.036538122574,"negative",1.38516576813696
"263",183.13885440627,"negative",1.95957163896359
"264",187.061004623179,"negative",1.37844682504631
"265",187.089549055676,"negative",1.60826311095319
"266",188.009978705339,"negative",1.37686896971959
"267",194.067526659968,"negative",1.69480431516465
"268",198.040445634476,"negative",1.41082780532234
"269",199.097328372215,"negative",1.48978566013404
"270",199.097367998913,"negative",2.34546341120448
"271",199.097306508756,"negative",1.86494844720749
"272",201.113049696488,"negative",1.7167956486519
"273",203.128461121464,"negative",3.02888542585991
