"name","batch"
"BLK1",1
"BLK2",1
"BLK3",1
"BLK4",1
"BLK5",1
"BLK6",1
"BLK7",1
"QC_0_125",1
"QC_0_25",1
"QC_5",1
"QCU1",1
"QCU12",1
"QCU13",1
"QCU14",1
"QCU17",1
"QCU18",1
"QCU19",1
"QCU2",1
"QCU20",1
"QCU21",1
"QCU22",1
"QCU23",1
"QCU24",1
"QCU25",1
"QCU26",1
"QCU27",1
"QCU28",1
"QCU3",1
"QCU4",1
"SFU1",1
"SFU10",1
"SFU100",1
"SFU101",1
"SFU102",1
"SFU103",1
"SFU104",1
"SFU105",1
"SFU106",1
"SFU107",1
"SFU108",1
"SFU109",1
"SFU11",1
"SFU110",1
"SFU111",1
"SFU112",1
"SFU113",1
"SFU114",1
"SFU115",1
"SFU116",1
"SFU117",1
"SFU118",1
"SFU119",1
"SFU12",1
"SFU120",1
"SFU121",1
"SFU122",1
"SFU123",1
"SFU124",1
"SFU125",1
"SFU126",1
"SFU127",1
"SFU128",1
"SFU129",1
"SFU13",1
"SFU130",1
"SFU131",1
"SFU132",1
"SFU133",1
"SFU134",1
"SFU135",1
"SFU136",1
"SFU137",1
"SFU138",1
"SFU139",1
"SFU14",1
"SFU140",1
"SFU141",1
"SFU142",1
"SFU143",1
"SFU144",1
"SFU145",1
"SFU146",1
"SFU147",1
"SFU148",1
"SFU15",1
"SFU16",1
"SFU17",1
"SFU18",1
"SFU19",1
"SFU2",1
"SFU20",1
"SFU21",1
"SFU22",1
"SFU23",1
"SFU24",1
"SFU25",1
"SFU26",1
"SFU27",1
"SFU28",1
"SFU29",1
"SFU3",1
"SFU30",1
"SFU31",1
"SFU32",1
"SFU33",1
"SFU34",1
"SFU35",1
"SFU36",1
"SFU37",1
"SFU38",1
"SFU39",1
"SFU4",1
"SFU40",1
"SFU41",1
"SFU42",1
"SFU43",1
"SFU44",1
"SFU45",1
"SFU46",1
"SFU47",1
"SFU48",1
"SFU49",1
"SFU5",1
"SFU50",1
"SFU51",1
"SFU52",1
"SFU53",1
"SFU54",1
"SFU55",1
"SFU56",1
"SFU57",1
"SFU58",1
"SFU59",1
"SFU6",1
"SFU60",1
"SFU61",1
"SFU62",1
"SFU63",1
"SFU64",1
"SFU65",1
"SFU66",1
"SFU67",1
"SFU68",1
"SFU69",1
"SFU7",1
"SFU70",1
"SFU71",1
"SFU72",1
"SFU73",1
"SFU74",1
"SFU75",1
"SFU76",1
"SFU77",1
"SFU78",1
"SFU79",1
"SFU8",1
"SFU80",1
"SFU81",1
"SFU82",1
"SFU83",1
"SFU84",1
"SFU85",1
"SFU86",1
"SFU87",1
"SFU88",1
"SFU89",1
"SFU9",1
"SFU90",1
"SFU91",1
"SFU92",1
"SFU93",1
"SFU94",1
"SFU95",1
"SFU96",1
"SFU97",1
"SFU98",1
"SFU99",1
"Blank_10",2
"Blank_16",2
"Blank_17",2
"Blank_18",2
"Blank_19",2
"Blank_20",2
"Blank_26",2
"Blank_27",2
"Blank_28",2
"Blank_29",2
"Blank_30",2
"Blank_36",2
"Blank_37",2
"Blank_38",2
"Blank_39",2
"Blank_40",2
"Blank_46",2
"Blank_47",2
"Blank_48",2
"Blank_49",2
"Blank_50",2
"Blank_56",2
"Blank_57",2
"Blank_58",2
"Blank_59",2
"Blank_6",2
"Blank_60",2
"Blank_64",2
"Blank_65",2
"Blank_66",2
"Blank_68",2
"Blank_69",2
"Blank_7",2
"Blank_8",2
"Blank_9",2
"Batch1_QC1",2
"Batch1_QC2",2
"Batch1_QC3",2
"QC_10",2
"QC_16",2
"QC_17",2
"QC_18",2
"QC_19",2
"QC_20",2
"QC_26",2
"QC_28",2
"QC_38",2
"QC_40",2
"QC_46",2
"QC_48",2
"QC_50",2
"QC_56",2
"QC_58",2
"QC_6",2
"QC_60",2
"QC_65",2
"QC_67",2
"QC_7",2
"QC_8",2
"QC_DL_16",2
"QC_DL_16_2",2
"QC_DL_2",2
"QC_DL_2_2",2
"QC_DL_4",2
"QC_DL_4_2",2
"QC_DL_8",2
"QC_DL_8_2",2
"SFU_B1",2
"SFU_B10",2
"SFU_B100",2
"SFU_B101",2
"SFU_B102",2
"SFU_B103",2
"SFU_B104",2
"SFU_B105",2
"SFU_B106",2
"SFU_B107",2
"SFU_B108",2
"SFU_B109",2
"SFU_B11",2
"SFU_B110",2
"SFU_B111",2
"SFU_B112",2
"SFU_B113",2
"SFU_B114",2
"SFU_B115",2
"SFU_B116",2
"SFU_B117",2
"SFU_B118",2
"SFU_B119",2
"SFU_B12",2
"SFU_B120",2
"SFU_B121",2
"SFU_B122",2
"SFU_B123",2
"SFU_B124",2
"SFU_B125",2
"SFU_B126",2
"SFU_B127",2
"SFU_B128",2
"SFU_B129",2
"SFU_B13",2
"SFU_B130",2
"SFU_B131",2
"SFU_B132",2
"SFU_B133",2
"SFU_B134",2
"SFU_B135",2
"SFU_B136",2
"SFU_B137",2
"SFU_B138",2
"SFU_B139",2
"SFU_B14",2
"SFU_B140",2
"SFU_B141",2
"SFU_B142",2
"SFU_B143",2
"SFU_B144",2
"SFU_B145",2
"SFU_B146",2
"SFU_B147",2
"SFU_B148",2
"SFU_B149",2
"SFU_B15",2
"SFU_B150",2
"SFU_B151",2
"SFU_B152",2
"SFU_B153",2
"SFU_B154",2
"SFU_B155",2
"SFU_B156",2
"SFU_B157",2
"SFU_B158",2
"SFU_B159",2
"SFU_B16",2
"SFU_B160",2
"SFU_B161",2
"SFU_B162",2
"SFU_B163",2
"SFU_B164",2
"SFU_B165",2
"SFU_B166",2
"SFU_B167",2
"SFU_B168",2
"SFU_B169",2
"SFU_B17",2
"SFU_B170",2
"SFU_B171",2
"SFU_B172",2
"SFU_B173",2
"SFU_B174",2
"SFU_B175",2
"SFU_B176",2
"SFU_B177",2
"SFU_B178",2
"SFU_B179",2
"SFU_B18",2
"SFU_B180",2
"SFU_B181",2
"SFU_B182",2
"SFU_B183",2
"SFU_B184",2
"SFU_B185",2
"SFU_B186",2
"SFU_B187",2
"SFU_B188",2
"SFU_B189",2
"SFU_B19",2
"SFU_B190",2
"SFU_B191",2
"SFU_B192",2
"SFU_B193",2
"SFU_B194",2
"SFU_B195",2
"SFU_B196",2
"SFU_B197",2
"SFU_B198",2
"SFU_B2",2
"SFU_B20",2
"SFU_B21",2
"SFU_B22",2
"SFU_B23",2
"SFU_B24",2
"SFU_B25",2
"SFU_B26",2
"SFU_B27",2
"SFU_B28",2
"SFU_B29",2
"SFU_B3",2
"SFU_B30",2
"SFU_B31",2
"SFU_B32",2
"SFU_B33",2
"SFU_B34",2
"SFU_B35",2
"SFU_B36",2
"SFU_B37",2
"SFU_B38",2
"SFU_B39",2
"SFU_B4",2
"SFU_B40",2
"SFU_B41",2
"SFU_B42",2
"SFU_B43",2
"SFU_B44",2
"SFU_B45",2
"SFU_B46",2
"SFU_B47",2
"SFU_B48",2
"SFU_B49",2
"SFU_B5",2
"SFU_B50",2
"SFU_B51",2
"SFU_B52",2
"SFU_B53",2
"SFU_B54",2
"SFU_B55",2
"SFU_B56",2
"SFU_B57",2
"SFU_B58",2
"SFU_B59",2
"SFU_B6",2
"SFU_B60",2
"SFU_B61",2
"SFU_B62",2
"SFU_B63",2
"SFU_B64",2
"SFU_B65",2
"SFU_B66",2
"SFU_B67",2
"SFU_B68",2
"SFU_B69",2
"SFU_B7",2
"SFU_B70",2
"SFU_B71",2
"SFU_B72",2
"SFU_B73",2
"SFU_B74",2
"SFU_B75",2
"SFU_B76",2
"SFU_B77",2
"SFU_B78",2
"SFU_B79",2
"SFU_B8",2
"SFU_B80",2
"SFU_B81",2
"SFU_B82",2
"SFU_B83",2
"SFU_B84",2
"SFU_B85",2
"SFU_B86",2
"SFU_B87",2
"SFU_B88",2
"SFU_B89",2
"SFU_B9",2
"SFU_B90",2
"SFU_B91",2
"SFU_B92",2
