mz-peak	PIUMet-ID	Metabolite-Name	HMDB-ID	origin	super-class	Cellular-location	monisotopic-moleculate-weight	Chemical-formula
m/z=100.078909778	met70755	Ethyl isopropyl ketone	HMDB0005846	Endogenous	Organic compounds	Membrane (predicted from logP)	100.08881501	C6H12O
m/z=100.078909778	met15554	Hexanal	HMDB0005994	Endogenous	Organic compounds	NULL	100.08881501	C6H12O
m/z=100.078909778	met42750	2-Methylpentanal	HMDB0031578	Endogenous|Food	Organic compounds	Extracellular|Cytoplasm	100.08881501	C6H12O
m/z=100.078909778	met11599	4-Methylpentanal	HMDB0001318	Endogenous	Organic compounds	Mitochondria	100.08881501	C6H12O
m/z=100.078909778	met5057	2-Oxohexane	HMDB0005842	Endogenous	Organic oxygen compounds	NULL	100.08881501	C6H12O
m/z=100.078909778	met59003	(E)-4-Hexen-1-ol	HMDB0031502	Endogenous|Food	Lipids and lipid-like molecules	Cytoplasm|Extracellular|Membrane	100.08881501	C6H12O
m/z=100.078909778	met39051	Methyl isobutyl ketone	HMDB0002939	Endogenous	Organic oxygen compounds	NULL	100.08881501	C6H12O
m/z=100.078909778	met27237	2-Ethylbutanal	HMDB0031220	Endogenous|Food	Hydrocarbon derivatives	Cytoplasm|Extracellular	100.08881501	C6H12O
m/z=100.078909778	met31299	2-Hexen-1-ol	HMDB0030952	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular|Membrane	100.08881501	C6H12O
m/z=100.078909778	met43867	1-Hexen-3-ol	HMDB0031503	Endogenous|Food	Organooxygen compounds	Cytoplasm|Extracellular	100.08881501	C6H12O
m/z=100.078909778	met66841	(E)-3-Hexen-1-ol	HMDB0030003	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular|Membrane	100.08881501	C6H12O
m/z=100.078909778	met60559	3-Hexanone	HMDB0000753	Endogenous	Organic compounds	NULL	100.08881501	C6H12O
m/z=114.094653533	met24074	1-Ethoxy-3-methyl-2-butene	HMDB0038052	Food	Organooxygen compounds	Membrane	114.10446507	C7H14O
m/z=114.094653533	met69360	(Z)-4-Hepten-1-ol	HMDB0031405	Endogenous|Food	Lipids and lipid-like molecules	Cytoplasm|Extracellular|Membrane	114.10446507	C7H14O
m/z=114.094653533	met44313	(±)-2-Methylhexanal	HMDB0040191	Food	Organic compounds	Cytoplasm|Extracellular	114.10446507	C7H14O
m/z=114.094653533	met5655	3-Methylhexanal	HMDB0032405	Endogenous|Food	Organic oxygen compounds	Membrane	114.10446507	C7H14O
m/z=114.094653533	met44603	2,4-Dimethyl-3-pentanone	HMDB0031429	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular	114.10446507	C7H14O
m/z=114.094653533	met71304	Ethyl isobutyl ketone	HMDB0005841	Endogenous	Organic compounds	Membrane (predicted from logP)	114.10446507	C7H14O
m/z=114.094653533	met60652	(2R,4Z)-4-Hepten-2-ol	HMDB0041320	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular|Membrane	114.10446507	C7H14O
m/z=114.094653533	met39172	3-Methylcyclohexanol	HMDB0031538	Endogenous|Food	Organic oxygen compounds	Cytoplasm|Extracellular	114.10446507	C7H14O
m/z=114.094653533	met25644	Heptanal	HMDB0031475	Endogenous|Food	Organic compounds	Membrane	114.10446507	C7H14O
m/z=114.094653533	met66628	4-Heptanone	HMDB0004814	Endogenous	Organic compounds	Membrane (predicted from logP)	114.10446507	C7H14O
m/z=114.094653533	met33964	2-Heptanone	HMDB0003671	Endogenous	Organic oxygen compounds	Membrane (predicted from logP)	114.10446507	C7H14O
m/z=114.094653533	met31484	5-Methyl-2-hexanone	HMDB0031549	Endogenous|Food	Organooxygen compounds	Cytoplasm|Extracellular	114.10446507	C7H14O
m/z=114.094653533	met56461	3-Heptanone	HMDB0031482	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular	114.10446507	C7H14O
m/z=144.133379867	met60659	1-(3-Aminopropyl)-4-aminobutanal	HMDB0012135	Endogenous	Organic compounds	NULL	144.12626314	C7H16N2O
m/z=144.133379867	met1226	N-Acetylcadaverine	HMDB0002284	Endogenous|Microbial	Organic compounds	NULL	144.12626314	C7H16N2O
m/z=144.133379867	met59935	N6-Methylagmatine	HMDB0039252	Food	Organic compounds	Cytoplasm|Extracellular	144.13749653	C6H16N4
m/z=144.133379867	met59577	Homoagmatine	HMDB0031505	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular	144.13749653	C6H16N4
m/z=182.124055433	met32869	Bornyl formate	HMDB0038245	Endogenous|Food	Lipids and lipid-like molecules	Extracellular|Membrane	182.13067982	C11H18O2
m/z=182.124055433	met50082	Linalyl formate	HMDB0030424	Endogenous|Food	Organic compounds	Extracellular|Membrane	182.13067982	C11H18O2
m/z=182.124055433	met46226	5-Pentyl-3h-furan-2-one	HMDB0032463	Endogenous|Food	Organoheterocyclic compounds	Membrane	182.13067982	C11H18O2
m/z=182.124055433	met74495	6-(3-Hexenyl)tetrahydro-2H-pyran-2-one	HMDB0037829	Food	Organic compounds	Membrane	182.13067982	C11H18O2
m/z=182.124055433	met26587	2,2,7,7-Tetramethyl-1,6-dioxaspiro[4.4]non-3-ene	HMDB0030006	Endogenous|Food	Organoheterocyclic compounds	Membrane	182.13067982	C11H18O2
m/z=182.124055433	met10510	(2E,6Z)-2,6-Nonadien-1-Yl acetate	HMDB0038079	Food	Organic compounds	Membrane	182.13067982	C11H18O2
m/z=182.124055433	met9877	xi-2-Hexyl-5-methyl-3(2H)-furanone	HMDB0038005	Food	Organic compounds	Membrane	182.13067982	C11H18O2
m/z=182.124055433	met27741	4-Hydroxy-4-methyl-7-decenoic acid gamma-lactone	HMDB0036191	Food	Organic compounds	Membrane	182.13067982	C11H18O2
m/z=182.124055433	met71242	Methyl 4,8-decadienoate	HMDB0034708	Drug metabolite|Endogenous|Food	Lipids and lipid-like molecules	Extracellular|Membrane	182.13067982	C11H18O2
m/z=182.124055433	met29766	cis-3-Hexenyl tiglate	HMDB0038279	Endogenous|Food	Lipids and lipid-like molecules	Extracellular|Membrane	182.13067982	C11H18O2
m/z=182.124055433	met8847	(3E,6Z)-Nonadien-1-yl acetate	HMDB0038068	Food	Lipids and lipid-like molecules	Membrane	182.13067982	C11H18O2
m/z=182.124055433	met70409	Allyl cyclohexylacetate	HMDB0040595	Food	Organic compounds	Membrane	182.13067982	C11H18O2
m/z=182.124055433	met92	Methyl (2E,4Z)-decadienoate	HMDB0034730	Endogenous|Food	Organic compounds	Extracellular|Membrane	182.13067982	C11H18O2
m/z=182.124055433	met24465	alpha-Terpineol formate	HMDB0032050	Endogenous|Food	Lipids and lipid-like molecules	Extracellular|Membrane	182.13067982	C11H18O2
m/z=182.124055433	met71024	Ethyl octynecarboxylate	HMDB0036215	Food	Lipids and lipid-like molecules	Membrane	182.13067982	C11H18O2
m/z=182.124055433	met44677	Neryl formate	HMDB0035156	Endogenous|Food	Organic compounds	Extracellular|Membrane	182.13067982	C11H18O2
m/z=182.124055433	met50107	Tsibulin 2	HMDB0037388	Food	Organic compounds	Membrane	182.13067982	C11H18O2
m/z=190.100887749	met6991	1-(4-Methoxyphenyl)-1-penten-3-one	HMDB0030905	Endogenous|Food	Phenylpropanoids and polyketides	Membrane	190.09937969	C12H14O2
m/z=190.100887749	met59550	Cinnamyl propionate	HMDB0041315	Food	Benzenoids	Membrane	190.09937969	C12H14O2
m/z=190.100887749	met4519	(+/-)-Isobutyl 3-methylthiobutyrate	HMDB0032346	Endogenous|Food	Lipids and lipid-like molecules	Extracellular|Membrane	190.10275051	C9H18O2S
m/z=190.100887749	met23210	3-Mercaptoheptyl acetate	HMDB0032372	Endogenous|Food	Organic acids and derivatives	Membrane	190.10275051	C9H18O2S
m/z=190.100887749	met53632	Benzyl tiglate	HMDB0037627	Food	Organic compounds	Membrane	190.09937969	C12H14O2
m/z=190.100887749	met61316	Prenyl benzoate	HMDB0032488	Endogenous|Food	Benzenoids	Membrane	190.09937969	C12H14O2
m/z=190.100887749	met52452	Benzyl trans-2-methyl-2-butenoate	HMDB0032177	Endogenous|Food	Benzenoids	Membrane	190.09937969	C12H14O2
m/z=190.100887749	met51353	L-erythro-4-Hydroxyarginine	HMDB0034326	Food	Lipids and lipid-like molecules	Cytoplasm|Extracellular	190.10659033	C6H14N4O3
m/z=190.100887749	met36003	N-(gamma-Glutamyl)ethanolamine	HMDB0039222	Food	Organic compounds	Cytoplasm|Extracellular	190.09535695	C7H14N2O4
m/z=190.100887749	met6034	5-Methoxytryptamine	HMDB0004095	Endogenous	Organoheterocyclic compounds	NULL	190.11061308	C11H14N2O
m/z=190.100887749	met66318	3-(2-Methylpropylidene)-3alpha,4-dihydro-1(3H)-isobenzofuranone	HMDB0032027	Endogenous|Food	Organic compounds	Membrane	190.09937969	C12H14O2
m/z=190.100887749	met69463	Alline	HMDB0030533	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular	190.11061308	C11H14N2O
m/z=190.100887749	met39130	N-(o)-Hydroxyarginine	HMDB0004224	Endogenous	Organic compounds	NULL	190.10659033	C6H14N4O3
m/z=190.100887749	met35974	Alanyl-Threonine	HMDB0028697	Endogenous	Organic compounds	NULL	190.09535695	C7H14N2O4
m/z=190.100887749	met54678	Ligustilide	HMDB0034277	Food	Organoheterocyclic compounds	Membrane	190.09937969	C12H14O2
m/z=190.100887749	met40189	2-Amino-4-[(2-hydroxy-1-oxopropyl)amino]butanoic acid	HMDB0031412	Endogenous|Food	Organic compounds	Cytoplasm|Extracellular	190.09535695	C7H14N2O4
m/z=190.100887749	met30320	(S)-3-Methylthiohexyl acetate	HMDB0032427	Food	Organic compounds	Membrane	190.10275051	C9H18O2S
m/z=190.100887749	met27938	Propyl cinnamate	HMDB0037700	Food	Phenylpropanoids and polyketides	Membrane	190.09937969	C12H14O2
m/z=190.100887749	met53127	Threoninyl-Alanine	HMDB0029054	Endogenous	Organic compounds	NULL	190.09535695	C7H14N2O4
m/z=190.100887749	met25683	N-Methylserotonin	HMDB0004369	Endogenous	Organic compounds	Cytoplasm	190.11061308	C11H14N2O
m/z=190.100887749	met5566	(S)-3-Butyl-1(3H)-isobenzofuranone	HMDB0032064	Food	Organic compounds	Membrane	190.09937969	C12H14O2
m/z=190.100887749	met54407	(R)-3,7-Dimethyl-5-indanecarboxylic acid	HMDB0033033	Food	Organic compounds	Membrane	190.09937969	C12H14O2
m/z=190.100887749	met1156	Isopropyl cinnamate	HMDB0037701	Food	Organic compounds	Membrane	190.09937969	C12H14O2
m/z=196.153605974	met31492	cis-3-Hexenyl cis-3-hexenoate	HMDB0038270	Endogenous|Food	Organic compounds	Extracellular|Membrane	196.14632988	C12H20O2
m/z=196.153605974	met3907	(3R,3aR,7aS)-3-Butylhexahydro-1(3H)-isobenzofuranone	HMDB0034903	Food	Organic compounds	Membrane	196.14632988	C12H20O2
m/z=196.153605974	met18408	Fenchyl acetate	HMDB0040725	Food	Lipids and lipid-like molecules	Membrane	196.14632988	C12H20O2
m/z=196.153605974	met12624	Artemisia alcohol acetate	HMDB0036048	Endogenous|Food	Organic acids and derivatives	Extracellular|Membrane	196.14632988	C12H20O2
m/z=196.153605974	met66872	cis-3-Hexenyl trans-4-hexenoate	HMDB0031692	Endogenous|Food	Organic compounds	Extracellular|Membrane	196.14632988	C12H20O2
m/z=196.153605974	met13439	Isopulegol acetate	HMDB0040227	Endogenous|Food	Lipids and lipid-like molecules	Extracellular|Membrane	196.14632988	C12H20O2
m/z=196.153605974	met35323	6-Heptyl-5,6-dihydro-2H-pyran-2-one	HMDB0031030	Food	Organic compounds	Membrane	196.14632988	C12H20O2
m/z=196.153605974	met4612	alpha-Terpineol acetate	HMDB0032051	Endogenous|Food	Lipids and lipid-like molecules	Extracellular|Membrane	196.14632988	C12H20O2
m/z=196.153605974	met55717	(Z)-4-Hydroxy-6-dodecenoic acid lactone	HMDB0032331	Endogenous|Food	Organoheterocyclic compounds	Membrane	196.14632988	C12H20O2
m/z=196.153605974	met64566	Yuzu lactone	HMDB0032901	Food	Organic compounds	Membrane	196.14632988	C12H20O2
m/z=196.153605974	met39731	p-Menth-1-en-9-ol acetate	HMDB0037301	Endogenous|Food	Lipids and lipid-like molecules	Extracellular|Membrane	196.14632988	C12H20O2
m/z=196.153605974	met38033	Ethyl 2Z,4E-decadienoic acid	HMDB0036599	Endogenous|Food	Organic compounds	Extracellular|Membrane	196.14632988	C12H20O2
m/z=196.153605974	met24967	(S)-Santolina acetate	HMDB0041494	Endogenous|Food	Organic acids and derivatives	Extracellular|Membrane	196.14632988	C12H20O2
m/z=196.153605974	met57458	Geranyl acetate	HMDB0035157	Endogenous|Food	Organic compounds	Extracellular|Membrane	196.14632988	C12H20O2
m/z=196.153605974	met51642	Allyl 3-cyclohexylpropionate	HMDB0040206	Endogenous|Food	Organic compounds	Extracellular|Membrane	196.14632988	C12H20O2
m/z=196.153605974	met70995	cis-3-Hexenyl trans-2-hexenoate	HMDB0038280	Endogenous|Food	Organic compounds	Extracellular|Membrane	196.14632988	C12H20O2
m/z=196.153605974	met3708	Methyl 2-undecynoate	HMDB0030945	Endogenous|Food	Organic compounds	Extracellular|Membrane	196.14632988	C12H20O2
m/z=196.153605974	met39608	(-)-Bornyl acetate	HMDB0040397	Endogenous|Food	Lipids and lipid-like molecules	Extracellular|Membrane	196.14632988	C12H20O2
