"node","membership"
"HMDB0000244","Cluser5"
"HMDB0000416","Cluser5"
"HMDB0000978","Cluser5"
"HMDB0001476","Cluser5"
"HMDB0001894","Cluser5"
"HMDB0002195","Cluser5"
"HMDB0003362","Cluser5"
"HMDB0005935","Cluser5"
"HMDB0010337","Cluser5"
"HMDB0012553","Cluser5"
"HMDB0013062","Cluser5"
"HMDB0013921","Cluser5"
"HMDB0013946","Cluser5"
"HMDB0000791","Cluser8"
"HMDB0001383","Cluser8"
"HMDB0005962","Cluser8"
"HMDB0006211","Cluser8"
"HMDB0006406","Cluser8"
"HMDB0012197","Cluser8"
"HMDB0012280","Cluser8"
"HMDB0000014","Other"
"HMDB0000015","Other"
"HMDB0000017","Other"
"HMDB0000133","Other"
"HMDB0000158","Other"
"HMDB0000245","Other"
"HMDB0000361","Other"
"HMDB0000628","Other"
"HMDB0000899","Other"
"HMDB0000994","Other"
"HMDB0001078","Other"
"HMDB0001228","Other"
"HMDB0001337","Other"
"HMDB0001405","Other"
"HMDB0001547","Other"
"HMDB0001586","Other"
"HMDB0002281","Other"
"HMDB0002580","Other"
"HMDB0003141","Other"
"HMDB0004029","Other"
"HMDB0004076","Other"
"HMDB0004224","Other"
"HMDB0005175","Other"
"HMDB0006328","Other"
"HMDB0007852","Other"
"HMDB0007856","Other"
"HMDB0010362","Other"
"HMDB0011156","Other"
"HMDB0012496","Other"
"HMDB0006878","Other"
"HMDB0013938","Other"
"HMDB0012710","Other"
"HMDB0011627","Other"
"HMDB0000664","Other"
"HMDB0003769","Other"
"HMDB0006343","Other"
"HMDB0004369","Other"
"HMDB0010363","Other"
"HMDB0012275","Other"
